row_type	reach_id	interface_id	interface_kind	station_id	zone_id	profile_id	landmark_id	zone_primary_profile_id	landmark_secondary_profile_id	from_id	to_id	start_x	start_z	finish_x	finish_z	delta_x	delta_z	W	depth	zone_band_low	zone_band_high	W_minus_band_low	band_high_minus_W	upper_W	lower_W	landmark_band_low	landmark_band_high	W_minus_landmark_band_low	landmark_band_high_minus_W	declared_drop	W_drop	direction_status	direction_conflict	direction_expected_axis	direction_expected_sign	direction_authority	proven_inside_closed_mask	matching_segment_index	interpolated_half_width	water_status	proof_scope	final_owner_status	final_H_status
reach	hydro_goldmead_millriver				elandor_goldmead_vale	river	goldmead_millriver	lowland	lowland	goldmead_upstream	goldmead_downstream	-64	-2020	64	-2020	128	0	17	4	9	57	8	40			9	57	8	40			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_gravesalt_pans				front_gravesalt_escarpment	shallow_marsh	gravesalt_whitewall	highland	mountain	gravesalt_seep	gravesalt_pan	-2114	0	-1986	0	128	0	101	1	97	225	4	124			161	361	-60	260			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_highcourt_fork_east				elandor_highcourt	river	highcourt_riverfork	rolling_hills	lowland	highcourt_east_source	highcourt_fork_join	300	-1750	0	-1320	-300	430	35	4	25	97	10	62			9	57	26	22			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_highcourt_fork_west				elandor_highcourt	river	highcourt_riverfork	rolling_hills	lowland	highcourt_west_source	highcourt_fork_join	-300	-1750	0	-1320	300	430	35	4	25	97	10	62			9	57	26	22			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_highcourt_outflow				elandor_highcourt	river	highcourt_riverfork	rolling_hills	lowland	highcourt_fork_join	highcourt_outflow	0	-1320	0	-1180	0	140	35	4	25	97	10	62			9	57	26	22			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_kezamba_cenote				kragmar_kezamba	deep_cenote	kezamba_cenote	plateau	wetland_delta	kezamba_inflow	kezamba_cenote_sink	1736	1500	1864	1500	128	0	65	12	57	145	8	80			3	25	62	-40			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_lethariel_lake				elandor_lethariel	ordinary_lake	lethariel_crownlake	rolling_hills	lowland	lethariel_inflow	lethariel_outflow	1736	-1500	1864	-1500	128	0	35	8	25	97	10	62			9	57	26	22			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_lorindor_marsh				elandor_lorindor	shallow_marsh	lorindor_berrymarsh	rolling_hills	wetland_delta	lorindor_inflow	lorindor_sink	1016	-1740	1144	-1740	128	0	29	1	25	97	4	68			3	25	26	-4			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_moonfall_lake				elandor_moonfall_wood	ordinary_lake	moonfall_crescent	lowland	wetland_delta	moonfall_inflow	moonfall_outflow	2336	-1500	2464	-1500	128	0	19	8	9	57	10	38			3	25	16	6			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_mournfen_marsh				kragmar_mournfen	shallow_marsh	mournfen_drowned_roads	wetland_delta	wetland_delta	mournfen_inflow	mournfen_sink	-2114	2100	-1986	2100	128	0	9	1	3	25	6	16			3	25	6	16			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_raincall_headwater				kragmar_raincall_basin	shallow_pond	raincall_falls	rolling_hills	highland	raincall_headwater	raincall_upper_rapid	1900	2200	1960	2140	60	-60	73	2	25	97	48	24			97	225	-24	152			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_raincall_middle_lip				kragmar_raincall_basin	shallow_pond	raincall_falls	rolling_hills	highland	raincall_middle_rapid	raincall_lower_lip	2020	2040	2050	2010	30	-30	53	2	25	97	28	44			97	225	-44	172			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_raincall_middle_upper				kragmar_raincall_basin	shallow_pond	raincall_falls	rolling_hills	highland	raincall_upper_drop	raincall_middle_rapid	1990	2070	2020	2040	30	-30	57	2	25	97	32	40			97	225	-40	168			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_raincall_plunge				kragmar_raincall_basin	plunge_pool	raincall_falls	rolling_hills	highland	raincall_lower_drop	raincall_outflow	2050	1970	2130	1900	80	-70	45	12	25	97	20	52			97	225	-52	180			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_raincall_upper_lip				kragmar_raincall_basin	shallow_pond	raincall_falls	rolling_hills	highland	raincall_upper_rapid	raincall_upper_lip	1960	2140	1990	2110	30	-30	69	2	25	97	44	28			97	225	-28	156			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_speargrass_dryriver				kragmar_speargrass_reach	dry_channel	speargrass_dryriver	rolling_hills	rolling_hills	speargrass_dry_head	speargrass_dry_mouth	-964	1500	-836	1500	128	0	29	0	25	97	4	68			25	97	4	68			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_sunscar_waterholes				kragmar_sunscar_flats	shallow_pond	sunscar_waterholes	lowland	wetland_delta	sunscar_seep	sunscar_basin	196	2450	324	2450	128	0	13	2	9	57	4	44			3	25	10	12			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_totemwater_delta				kragmar_totemwater_reach	delta_arm	totemwater_delta	wetland_delta	wetland_delta	totemwater_upstream	totemwater_mouth	2336	1500	2464	1500	128	0	9	4	3	25	6	16			3	25	6	16			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_whispering_reedmaze				kragmar_whispering_reedlands	shallow_marsh	whispering_reedmaze	wetland_delta	wetland_delta	reedmaze_inflow	reedmaze_outflow	836	1500	964	1500	128	0	9	1	3	25	6	16			3	25	6	16			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_whitebridge_ford				elandor_whitebridge_shire	ford	whitebridge_ford	lowland	wetland_delta	whitebridge_ford_upstream	whitebridge_ford_downstream	-900	-1100	-720	-1260	180	-160	17	1	9	57	8	40			3	25	14	8			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
reach	hydro_whitebridge_main				elandor_whitebridge_shire	river	whitebridge_crossing	lowland	lowland	whitebridge_upstream	whitebridge_downstream	-964	-1500	-400	-1500	564	0	17	4	9	57	8	40			9	57	8	40			not_audited_no_design_direction_rule										unavailable_deferred_until_reviewed_ca2	unavailable_deferred_until_reviewed_ca2
station_on_reach_centreline	hydro_gravesalt_pans			station:front_gravesalt_escarpment:hub	front_gravesalt_escarpment	shallow_marsh						-2000	0					101																			true	1	12	planned_surface_water	analytic_zero_distance_le_interpolated_half_width		
station_on_reach_centreline	hydro_highcourt_outflow			station:elandor_highcourt:capital_north	elandor_highcourt	river						0	-1244					35																			true	1	18	planned_surface_water	analytic_zero_distance_le_interpolated_half_width		
station_on_reach_centreline	hydro_kezamba_cenote			station:kragmar_kezamba:hub	kragmar_kezamba	deep_cenote						1800	1500					65																			true	1	12	planned_surface_water	analytic_zero_distance_le_interpolated_half_width		
station_on_reach_centreline	hydro_lethariel_lake			station:elandor_lethariel:hub	elandor_lethariel	ordinary_lake						1800	-1500					35																			true	1	12	planned_surface_water	analytic_zero_distance_le_interpolated_half_width		
station_on_reach_centreline	hydro_moonfall_lake			station:elandor_moonfall_wood:hub	elandor_moonfall_wood	ordinary_lake						2400	-1500					19																			true	1	12	planned_surface_water	analytic_zero_distance_le_interpolated_half_width		
station_on_reach_centreline	hydro_speargrass_dryriver			station:kragmar_speargrass_reach:hub	kragmar_speargrass_reach	dry_channel						-900	1500					29																			true	1	12	dry_channel	analytic_zero_distance_le_interpolated_half_width		
station_on_reach_centreline	hydro_totemwater_delta			station:kragmar_totemwater_reach:hub	kragmar_totemwater_reach	delta_arm						2400	1500					9																			true	1	12	planned_surface_water	analytic_zero_distance_le_interpolated_half_width		
station_on_reach_centreline	hydro_whispering_reedmaze			station:kragmar_whispering_reedlands:hub	kragmar_whispering_reedlands	shallow_marsh						900	1500					9																			true	1	12	planned_surface_water	analytic_zero_distance_le_interpolated_half_width		
station_on_reach_centreline	hydro_whitebridge_main			station:elandor_whitebridge_shire:hub	elandor_whitebridge_shire	river						-900	-1500					17																			true	1	12	planned_surface_water	analytic_zero_distance_le_interpolated_half_width		
