row_type	route_id	seed	winner_index	station_count	literal_bridgeable_delta	symmetric_bridgeable_delta	raw_start_h	raw_end_h	raw_min_h	raw_max_h	raw_endpoint_deficit_literal	unclipped_all_start_h	unclipped_all_end_h	unclipped_all_min_h	unclipped_all_max_h	unclipped_all_endpoint_deficit_literal	authored_zone_start_h	authored_zone_end_h	authored_zone_min_h	authored_zone_max_h	authored_zone_endpoint_deficit_literal	claim_scope
measured_route	island_route_stormscale_north_junction	15219119262482319357	1047	201	34	34	218	207	207	218	-23	225	133	133	227	58	225	133	133	227	58	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_north_junction	17842018860885445630	3438	201	34	34	285	308	285	308	-11	245	142	141	245	69	245	142	141	245	69	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_junction_dragon	0	0	161	29	29	314	325	314	325	-18	138	278	138	278	111	138	278	138	278	111	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_junction_dragon	5270046902118333881	2192	161	29	29	271	265	265	271	-23	138	174	138	175	7	138	174	138	175	7	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_junction_dragon	16178445837170081103	1713	161	29	29	229	246	229	246	-12	127	309	127	315	153	127	309	127	315	153	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_junction_dragon	15219119262482319357	1047	161	29	29	207	207	207	207	-29	133	280	133	280	118	133	280	133	280	118	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_junction_dragon	17842018860885445630	3438	161	29	29	308	309	308	311	-28	142	310	142	315	139	142	310	142	315	139	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_junction_apex	0	0	111	22	22	314	321	314	321	-15	138	171	138	172	11	138	171	138	172	11	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_junction_apex	5270046902118333881	2192	111	22	22	271	267	267	271	-18	138	146	138	147	-14	138	146	138	147	-14	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_junction_apex	16178445837170081103	1713	111	22	22	229	240	229	240	-11	127	169	127	171	20	127	169	127	171	20	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_junction_apex	15219119262482319357	1047	111	22	22	207	208	207	208	-21	133	168	133	170	13	133	168	133	170	13	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
measured_route	island_route_stormscale_junction_apex	17842018860885445630	3438	111	22	22	308	310	308	310	-20	142	181	142	183	17	142	181	142	183	17	raw_plus_landmarks_no_edge_G_or_junction_not_final_H
