family	route_id	class	boundary_id	from_station_id	to_station_id	station_count	interface_count	interface_station_indices	min_transition_run	max_cut	max_fill	literal_h1_transition_capacity	literal_h1_bridgeable_delta	symmetric_h1_transition_capacity	symmetric_h1_bridgeable_delta	initial_transition_assumption
mainland	route_054	secondary	land_054	station:kragmar_thunderroot_wilds:hub	station:front_skyglass_canopy:hub	701	3	1,451,701	8	6	4	83	93	83	93	first_permitted_transition_free
mainland	route_055	trail	land_055	station:front_gravesalt_escarpment:hub	station:front_broken_causeway:hub	1251	3	1,501,1251	4	3	2	302	307	302	307	first_permitted_transition_free
mainland	route_056	trail	land_056	station:front_broken_causeway:hub	station:front_shattered_line:hub	1501	3	1,751,1501	4	3	2	364	369	364	369	first_permitted_transition_free
mainland	route_057	trail	land_057	station:front_shattered_line:hub	station:front_skyglass_canopy:hub	1251	3	1,751,1251	4	3	2	302	307	302	307	first_permitted_transition_free
island	island_route_wyrmglass_south_junction	secondary		island_station_wyrmglass_south	island_station_wyrmglass_junction	211	2	1,211	8	6	4	25	35	25	35	first_permitted_transition_free
island	island_route_wyrmglass_north_junction	secondary		island_station_wyrmglass_north	island_station_wyrmglass_junction	211	2	1,211	8	6	4	25	35	25	35	first_permitted_transition_free
island	island_route_wyrmglass_junction_dragon	secondary		island_station_wyrmglass_junction	island_station_wyrmglass_dragon	161	2	1,161	8	6	4	19	29	19	29	first_permitted_transition_free
island	island_route_wyrmglass_junction_apex	secondary		island_station_wyrmglass_junction	island_station_wyrmglass_apex	111	2	1,111	8	6	4	12	22	12	22	first_permitted_transition_free
island	island_route_stormscale_south_junction	secondary		island_station_stormscale_south	island_station_stormscale_junction	211	2	1,211	8	6	4	25	35	25	35	first_permitted_transition_free
island	island_route_stormscale_north_junction	secondary		island_station_stormscale_north	island_station_stormscale_junction	201	2	1,201	8	6	4	24	34	24	34	first_permitted_transition_free
island	island_route_stormscale_junction_dragon	secondary		island_station_stormscale_junction	island_station_stormscale_dragon	161	2	1,161	8	6	4	19	29	19	29	first_permitted_transition_free
island	island_route_stormscale_junction_apex	secondary		island_station_stormscale_junction	island_station_stormscale_apex	111	2	1,111	8	6	4	12	22	12	22	first_permitted_transition_free
