event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=23855037
event=mapchunk case=plot_market_grove mapchunk=48:48:-1712 kind=capital elapsed_us=231513
event=mapchunk case=plot_market_orchard mapchunk=128:-32:-1712 kind=capital elapsed_us=629227
event=mapchunk case=plot_market_orchard mapchunk=128:48:-1712 kind=capital elapsed_us=185783
event=mapchunk case=plot_martial_barracks mapchunk=48:-32:-1472 kind=capital elapsed_us=721819
event=mapchunk case=plot_martial_barracks mapchunk=128:-32:-1472 kind=capital elapsed_us=728461
event=mapchunk case=plot_martial_barracks mapchunk=48:48:-1472 kind=capital elapsed_us=193829
event=mapchunk case=plot_martial_barracks mapchunk=128:48:-1472 kind=capital elapsed_us=147968
event=mapchunk case=plot_martial_barracks mapchunk=48:-32:-1392 kind=capital elapsed_us=780064
event=mapchunk case=plot_martial_barracks mapchunk=128:-32:-1392 kind=capital elapsed_us=615543
event=mapchunk case=plot_martial_barracks mapchunk=48:48:-1392 kind=capital elapsed_us=169199
event=mapchunk case=plot_martial_barracks mapchunk=128:48:-1392 kind=capital elapsed_us=155272
event=mapchunk case=plot_martial_armoury mapchunk=48:-32:-1312 kind=capital elapsed_us=746738
event=mapchunk case=plot_martial_armoury mapchunk=128:-32:-1312 kind=capital elapsed_us=625307
event=mapchunk case=plot_martial_wain_shed mapchunk=208:-32:-1472 kind=capital elapsed_us=784816
event=mapchunk case=plot_martial_wain_shed mapchunk=208:-32:-1392 kind=capital elapsed_us=628236
event=mapchunk case=plot_martial_watch_tower mapchunk=208:-32:-1312 kind=capital elapsed_us=690413
event=mapchunk case=plot_martial_watch_tower mapchunk=208:48:-1312 kind=capital elapsed_us=276553
event=mapchunk case=plot_lore_shrine mapchunk=-192:-32:-1472 kind=capital elapsed_us=863445
event=mapchunk case=plot_lore_shrine mapchunk=-192:48:-1472 kind=capital elapsed_us=96342
event=mapchunk case=plot_lore_scriptorium mapchunk=-272:-32:-1472 kind=capital elapsed_us=907287
event=mapchunk case=plot_lore_scriptorium mapchunk=-272:48:-1472 kind=capital elapsed_us=194907
event=mapchunk case=plot_lore_archive mapchunk=-192:-32:-1392 kind=capital elapsed_us=952048
event=mapchunk case=plot_lore_archive mapchunk=-192:48:-1392 kind=capital elapsed_us=157023
event=mapchunk case=plot_lore_chapter_house mapchunk=-272:-32:-1392 kind=capital elapsed_us=608266
event=mapchunk case=plot_lore_chapter_house mapchunk=-272:48:-1392 kind=capital elapsed_us=214295
event=mapchunk case=plot_homes_tavern mapchunk=-112:-32:-1632 kind=capital elapsed_us=928524
event=mapchunk case=plot_homes_tavern mapchunk=-112:48:-1632 kind=capital elapsed_us=220190
event=mapchunk case=plot_homes_well mapchunk=-112:-32:-1712 kind=capital elapsed_us=788809
event=mapchunk case=plot_homes_well mapchunk=-112:48:-1712 kind=capital elapsed_us=222064
event=mapchunk case=plot_homes_tenement mapchunk=-192:-32:-1632 kind=capital elapsed_us=691105
event=mapchunk case=plot_homes_tenement mapchunk=-192:48:-1632 kind=capital elapsed_us=180735
event=mapchunk case=plot_homes_bakehouse mapchunk=-192:-32:-1712 kind=capital elapsed_us=606137
event=mapchunk case=plot_homes_bakehouse mapchunk=-192:48:-1712 kind=capital elapsed_us=171269
event=mapchunk case=run_avenue_south mapchunk=-32:-32:-1792 kind=capital elapsed_us=936056
event=mapchunk case=run_avenue_south mapchunk=-32:48:-1792 kind=capital elapsed_us=299044
event=mapchunk case=run_avenue_south mapchunk=-32:-32:-1712 kind=capital elapsed_us=619567
event=mapchunk case=run_avenue_south mapchunk=-32:48:-1712 kind=capital elapsed_us=246206
event=mapchunk case=run_avenue_south mapchunk=-32:-32:-1632 kind=capital elapsed_us=613962
event=mapchunk case=run_avenue_south mapchunk=-32:48:-1632 kind=capital elapsed_us=228166
event=mapchunk case=run_avenue_north mapchunk=-32:-32:-1392 kind=capital elapsed_us=832317
event=mapchunk case=run_avenue_north mapchunk=-32:-32:-1312 kind=capital elapsed_us=736633
event=mapchunk case=run_avenue_west mapchunk=-272:-32:-1552 kind=capital elapsed_us=801829
event=mapchunk case=run_avenue_west mapchunk=-192:-32:-1552 kind=capital elapsed_us=665481
event=mapchunk case=run_avenue_west mapchunk=-272:48:-1552 kind=capital elapsed_us=120264
event=mapchunk case=run_avenue_west mapchunk=-192:48:-1552 kind=capital elapsed_us=96503
event=mapchunk case=run_avenue_east mapchunk=48:-32:-1552 kind=capital elapsed_us=809532
event=mapchunk case=run_avenue_east mapchunk=128:-32:-1552 kind=capital elapsed_us=707967
event=mapchunk case=run_avenue_east mapchunk=208:-32:-1552 kind=capital elapsed_us=773715
event=mapchunk case=run_avenue_east mapchunk=48:48:-1552 kind=capital elapsed_us=246878
event=mapchunk case=run_avenue_east mapchunk=128:48:-1552 kind=capital elapsed_us=96908
event=mapchunk case=run_avenue_east mapchunk=208:48:-1552 kind=capital elapsed_us=132950
event=mapchunk case=run_lane_northwest_spine mapchunk=-272:-32:-1312 kind=capital elapsed_us=857242
event=mapchunk case=run_lane_northwest_spine mapchunk=-272:48:-1312 kind=capital elapsed_us=236871
event=mapchunk case=run_lane_northwest_cross mapchunk=-112:-32:-1392 kind=capital elapsed_us=863638
event=mapchunk case=control_open_land mapchunk=848:-32:848 kind=control elapsed_us=752621
event=mapchunk case=control_open_land_far mapchunk=1168:48:768 kind=control elapsed_us=856327
event=mapchunk case=control_dawnmere_start mapchunk=-32:-32:-2592 kind=control elapsed_us=3597
