== the 36 lots of dur_brannoc, on 9 worlds
quadrant	lot	x	z	verdict	worst_fall	worst_rise
southeast	1	120	-120	legal	5	5
southeast	2	156	-112	legal	6	5
southeast	3	200	-112	legal	5	6
southeast	4	112	-164	legal	5	6
southeast	5	156	-164	legal	6	5
southeast	6	200	-164	legal	6	4
southeast	7	112	-212	legal	6	6
southeast	8	156	-208	legal	6	5
southeast	9	200	-208	legal	4	4
northeast	1	116	108	legal	4	6
northeast	2	120	156	legal	5	5
northeast	3	116	204	legal	6	6
northeast	4	156	112	legal	6	5
northeast	5	156	156	legal	5	5
northeast	6	156	200	legal	5	6
northeast	7	204	112	legal	4	5
northeast	8	204	156	legal	6	6
northeast	9	204	204	legal	6	6
northwest	1	-120	72	legal	4	5
northwest	2	-164	72	legal	5	4
northwest	3	-208	72	legal	6	5
northwest	4	-120	112	legal	5	5
northwest	5	-164	116	legal	6	6
northwest	6	-208	116	legal	5	6
northwest	7	-120	156	legal	4	5
northwest	8	-164	160	legal	4	5
northwest	9	-204	160	legal	4	6
southwest	1	-116	-120	legal	5	6
southwest	2	-116	-164	legal	6	6
southwest	3	-116	-208	legal	6	6
southwest	4	-164	-120	legal	4	6
southwest	5	-160	-164	legal	5	5
southwest	6	-160	-208	legal	5	6
southwest	7	-204	-120	legal	6	4
southwest	8	-204	-164	legal	5	4
southwest	9	-204	-212	legal	6	4

== the 16 fill lots
quadrant	slot	x	z	reach	verdict	worst_fall	worst_rise
southeast	1	232	-116	11	legal	6	5
southeast	2	80	-232	11	legal	5	4
southeast	3	228	-232	8	legal	4	4
southeast	4	162	-232	5	legal	3	3
northeast	1	116	234	11	legal	5	6
northeast	2	234	116	11	legal	3	5
northeast	3	232	232	8	legal	5	4
northeast	4	232	182	5	legal	3	3
northwest	1	-234	148	11	legal	5	5
northwest	2	-120	232	11	legal	6	6
northwest	3	-232	232	8	legal	4	4
northwest	4	-184	232	5	legal	3	3
southwest	1	-84	-208	11	legal	6	4
southwest	2	-218	-88	11	legal	6	5
southwest	3	-232	-204	8	legal	4	5
southwest	4	-228	-156	5	legal	3	2

== every plot against the envelope of the lot it stands on
plot	district	quadrant	kind	lot	verdict	x_reach	z_reach	clear
deep_carvers	dur_brannoc_deep	northwest	plot	4	fits	10	11	11
deep_lantern_court	dur_brannoc_deep	northwest	plot	5	fits	10	10	8
deep_archive	dur_brannoc_deep	northwest	plot	6	fits	9	10	12
deep_keeper	dur_brannoc_deep	northwest	plot	7	fits	8	6	9
deep_lamp_store	dur_brannoc_deep	northwest	plot	8	fits	11	9	9
deep_watch	dur_brannoc_deep	northwest	plot	9	fits	7	7	14
deep_mushroom_garden	dur_brannoc_deep	northwest	fill	1	fits	11	11	8
deep_barrow_terrace	dur_brannoc_deep	northwest	fill	2	fits	11	11	8
deep_markers_yard	dur_brannoc_deep	northwest	fill	3	fits	8	8	8
deep_green	dur_brannoc_deep	northwest	fill	4	fits	5	5	8
terrace_market	dur_brannoc_terraces	southwest	plot	1	fits	10	5	9
terrace_brewhouse	dur_brannoc_terraces	southwest	plot	2	fits	10	11	11
terrace_alehouse	dur_brannoc_terraces	southwest	plot	3	fits	9	10	11
terrace_bakehouse	dur_brannoc_terraces	southwest	plot	4	fits	9	11	11
terrace_well_court	dur_brannoc_terraces	southwest	plot	5	fits	10	10	8
terrace_long_house	dur_brannoc_terraces	southwest	plot	6	fits	9	11	12
terrace_cottage_west	dur_brannoc_terraces	southwest	plot	7	fits	8	7	9
terrace_cottage_east	dur_brannoc_terraces	southwest	plot	8	fits	7	8	10
terrace_watch	dur_brannoc_terraces	southwest	plot	9	fits	7	7	14
terrace_kitchen_garden	dur_brannoc_terraces	southwest	fill	1	fits	11	11	8
terrace_goat_pasture	dur_brannoc_terraces	southwest	fill	2	fits	11	11	8
terrace_brew_court	dur_brannoc_terraces	southwest	fill	3	fits	8	8	8
terrace_green	dur_brannoc_terraces	southwest	fill	4	fits	5	5	8

every lot and every fill lot of dur_brannoc is dry, inside the skirt and under its own roof on all 9 worlds
