output	source	source_sha256	output_sha256	license	modification
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_heavy_leather.png	reference_projects/animalworld/textures/abearpelt.png	6779bd7d36539c5f9cd1a136409ce7a8a885399150f89853d5908940dce0ee84	6779bd7d36539c5f9cd1a136409ce7a8a885399150f89853d5908940dce0ee84	Liil / Wilhelmine; MIT	copy/rename
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_light_leather.png	reference_projects/animalia/textures/items/animalia_leather.png	fd9ef08851579c33c149ff78d29e64ec8e49ee3e9da9b9c2556f399836974090	fd9ef08851579c33c149ff78d29e64ec8e49ee3e9da9b9c2556f399836974090	ElCeejo; MIT	copy/rename
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_linen_cloth.png	see owning LICENSE-media.md and tools/r10_art	-	c7c189c3a3b587fb5de580ad6b4c2b83d3c2c4355bbe0de8cda6a5040b7009dd	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_linen_scrap.png	see owning LICENSE-media.md and tools/r10_art	-	06558a8077f2fa89cfa34138560a5447dfc84097153422435321a910f2c58564	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_raptor_claw.png	see owning LICENSE-media.md and tools/r10_art	-	4957dd4c57b8db7ba6c3709c6a8ca37f9abcd05465874676cbae90acd819026b	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_raw_fish.png	see owning LICENSE-media.md and tools/r10_art	-	100170bcefb50b422b818d42ec08a312984e596c814b80752a4ac41815fb6d44	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_scaled_hide.png	see owning LICENSE-media.md and tools/r10_art	-	8b5912cfec32918b143ddf5d902a5133782711386735f65fb366c92c23c58465	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_sharp_feather.png	see owning LICENSE-media.md and tools/r10_art	-	59b7bbcf7dda5739a511fe73bd22cbca6d0cdf1d4c6b821cb0faa11ae370360f	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_shiny_scale.png	see owning LICENSE-media.md and tools/r10_art	-	d3de175c89ede97d12da8f79604a5a880497d00430eff0761309d6f13e4812fe	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_sleek_pelt.png	reference_projects/animalworld/textures/aboarpelt.png	09398d9cc332a3af702a14b7945e60c8d0ec4382b5a1d69fabc1f04d2720ae0d	09398d9cc332a3af702a14b7945e60c8d0ec4382b5a1d69fabc1f04d2720ae0d	Liil / Wilhelmine; MIT	copy/rename
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_slime_gel.png	reference_projects/VoxeLibre/textures/mcl_mobitems_slimeball.png	a8920cbc6fe30f14102fafdf267a31a46eb30750d3cd641453d3239d12d2f91d	a8920cbc6fe30f14102fafdf267a31a46eb30750d3cd641453d3239d12d2f91d	XSSheep / VoxeLibre contributors; CC BY-SA 4.0	copy/rename
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_spider_silk.png	see owning LICENSE-media.md and tools/r10_art	-	4e08a5775390854786830a124c2c63c4fa92d4b22526a3cde86096228fba2db9	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_stolen_purse.png	see owning LICENSE-media.md and tools/r10_art	-	2dac32c2ab7e0de95228a0d153159404a3aff59e98f8297fc46313c0c5fd0644	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_stone_core.png	see owning LICENSE-media.md and tools/r10_art	-	f196a2ec92a6adfe107cbd0c17892bbafbb1b5298dde923ce1ce25a7887d7de0	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_venom_gland.png	see owning LICENSE-media.md and tools/r10_art	-	8413ed6b46b11662b865060b2c295a08b902d208b11139e45e320bc55e18306e	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_venom_sac.png	see owning LICENSE-media.md and tools/r10_art	-	476a90191ded3ac0175a00a7abcea3b528e70c03970f5d10567ede4d9acbfc07	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_war_trophy.png	see owning LICENSE-media.md and tools/r10_art	-	666a7497c92f78d9728cd46c570b5cb831017d3036ad31bef1dd0b414d40793f	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_zombie_flesh.png	reference_projects/VoxeLibre/textures/mcl_mobitems_rotten_flesh.png	94dbe66413cf8965b3e1024257d64b5435a0991a51238573798c5b85ece04ab1	94dbe66413cf8965b3e1024257d64b5435a0991a51238573798c5b85ece04ab1	XSSheep / VoxeLibre contributors; CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_bamboo_shoot.png	reference_projects/VoxeLibre/textures/mcl_bamboo_bamboo_shoot.png	9f8b85e87165372d9dff348a92fe0f59714befbf9b730018d512b010d98a8ef5	9f8b85e87165372d9dff348a92fe0f59714befbf9b730018d512b010d98a8ef5	XSSheep / VoxeLibre contributors; CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_blightberry.png	reference_projects/farming/textures/farming_blackberry.png	4bb53baf83463c133db8c7f8bca5457792c1f1273c9f26ce63fcc217d195943e	4bb53baf83463c133db8c7f8bca5457792c1f1273c9f26ce63fcc217d195943e	Felfa; CC0 1.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_carrot.png	reference_projects/farming/textures/farming_carrot.png	a8d8a3325880b40806aa3fefe78cdc1e414e20b7562d6784c0c995b568f25dc6	a8d8a3325880b40806aa3fefe78cdc1e414e20b7562d6784c0c995b568f25dc6	Gambit; CC BY 3.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_cassava.png	reference_projects/farming/textures/farming_potato.png	cb6dcc87c231d8bacb2e77cbb69421790edcb642e41fa4a3f54c55015110d778	cb6dcc87c231d8bacb2e77cbb69421790edcb642e41fa4a3f54c55015110d778	Doc; CC BY 3.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_cave_cap.png	reference_projects/goblins/textures/goblins_mushroom_brown.png	53ad48f3095b64170f6001f4928cb81c7187519f2ddd1bf46c4e2f3c0700bd39	53ad48f3095b64170f6001f4928cb81c7187519f2ddd1bf46c4e2f3c0700bd39	Francisco Athens; CC BY-SA 3.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_ember_moss.png	reference_projects/x_farming/textures/x_farming_obsidian_wart_6.png	37f0a30cc18d441878f2a2dbf8725fca081854182e51589552bde09f1454b587	37f0a30cc18d441878f2a2dbf8725fca081854182e51589552bde09f1454b587	SaKeL; CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_fire_pepper.png	docs/research/r10-visuals/sources/fire-pepper-imagegen.png	38f20a0d2d6bbc37e829d85f167ffbc7589bec3739f5e54b5a63cd7007787fed	4970461e68735efc8bcb3ee9996d614dda83e7787834ac7fa47814b386846478	Grudgelands project; CC0 1.0	trim; point resize 14x14; center extent 16x16; strip metadata; prompt_sha256=fee6372cff9f652905cc1f5de455a3d48e404d76b9b2cad099e8748ff88af039
mods/ITEMS/grug_cooking/textures/grug_cooking_frost_melon.png	reference_projects/x_farming/textures/x_farming_melon.png	f09381a2dd65641a9bd5e7b77bd2f8ee7aa2f63112991d8c99a2800d29f2f762	f09381a2dd65641a9bd5e7b77bd2f8ee7aa2f63112991d8c99a2800d29f2f762	SaKeL; CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_jungle_berry.png	reference_projects/farming/textures/farming_grapes.png	de358a9fb71913c33456b5ce290917990acf3962f275f771eef9496445e8bb79	de358a9fb71913c33456b5ce290917990acf3962f275f771eef9496445e8bb79	Oz-tal; CC BY-SA 3.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_pumpkin.png	reference_projects/x_farming/textures/x_farming_pumpkin_mash.png	7283ad5b0af7cabf79b83ad7c5c59f8cb6484dd12930d2713d956f2db7645ec2	7283ad5b0af7cabf79b83ad7c5c59f8cb6484dd12930d2713d956f2db7645ec2	SaKeL; CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_salt_crust.png	reference_projects/x_farming/textures/x_farming_salt.png	7d9100607248de44c35b7e57c37c0cc1b54135abfb258903e76aba5bd8a7eaf0	7d9100607248de44c35b7e57c37c0cc1b54135abfb258903e76aba5bd8a7eaf0	SaKeL; CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_sugar_cane.png	reference_projects/VoxeLibre/textures/mcl_core_reeds.png	528373a6a0be5388ad41e54629adaccfe689a960533ca6d6332544be3b92b52c	528373a6a0be5388ad41e54629adaccfe689a960533ca6d6332544be3b92b52c	XSSheep / VoxeLibre contributors; CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_sunberry.png	reference_projects/farming/textures/ethereal_strawberry.png	19d03a65844d980ff089c44e3220f9f80132caf186d82bb69fd36e32d8fdc07d	19d03a65844d980ff089c44e3220f9f80132caf186d82bb69fd36e32d8fdc07d	Hugues Ross; CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_wild_grain.png	reference_projects/farming/textures/farming_wheat.png	9a65923bd8f76958195def50e9abcf3af8b5d03584abfa6295451493b011153f	9a65923bd8f76958195def50e9abcf3af8b5d03584abfa6295451493b011153f	VanessaE; CC BY 3.0	copy/rename
mods/ITEMS/grug_cooking/textures/grug_cooking_wild_onion.png	reference_projects/farming/textures/crops_onion.png	ce2d33da5824165617308afd9ab2e011a1079a8f80985be384a651d641da9519	ce2d33da5824165617308afd9ab2e011a1079a8f80985be384a651d641da9519	Oz-tal; CC BY-SA 3.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_bamboo_shoot_1.png	mods/BASE/default/textures/default_papyrus.png	7820e10c28d19634f6fde548430bf6db2bf0e5e72f1b42160ff2f11150df39f1	f754f0f36d85eb7d9f14af1283bc9ea31edd4e4d05cc509839b0503cf7915337	minetest_game CC BY-SA 3.0	#6f9638 28% colorize
mods/ITEMS/grug_farming/textures/grug_farming_bamboo_shoot_2.png	mods/BASE/default/textures/default_papyrus.png	7820e10c28d19634f6fde548430bf6db2bf0e5e72f1b42160ff2f11150df39f1	f754f0f36d85eb7d9f14af1283bc9ea31edd4e4d05cc509839b0503cf7915337	minetest_game CC BY-SA 3.0	#6f9638 28% colorize
mods/ITEMS/grug_farming/textures/grug_farming_bamboo_shoot_3.png	mods/BASE/default/textures/default_papyrus.png	7820e10c28d19634f6fde548430bf6db2bf0e5e72f1b42160ff2f11150df39f1	f754f0f36d85eb7d9f14af1283bc9ea31edd4e4d05cc509839b0503cf7915337	minetest_game CC BY-SA 3.0	#6f9638 28% colorize
mods/ITEMS/grug_farming/textures/grug_farming_bamboo_shoot_4.png	mods/BASE/default/textures/default_papyrus.png	7820e10c28d19634f6fde548430bf6db2bf0e5e72f1b42160ff2f11150df39f1	f754f0f36d85eb7d9f14af1283bc9ea31edd4e4d05cc509839b0503cf7915337	minetest_game CC BY-SA 3.0	#6f9638 28% colorize
mods/ITEMS/grug_farming/textures/grug_farming_blightberry_1.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_strawberry_1.png	8072a6f8e9f27a38e925ca580bbba47e5eca347904aca59d31085ba8eb9c7067	e3b603dee6103cf406d167b606d274dc2bf65c1e60424c0da9538be74c404246	x_farming media CC BY-SA 4.0	#765080 22% colorize
mods/ITEMS/grug_farming/textures/grug_farming_blightberry_2.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_strawberry_2.png	ba2a3d99a83bc656943e862bf5e6637bf837381a5b52a41e11789cba422cdf26	de5e7b0e04a9b103705b06b77e3402a8f0aea19331606ee7856e025a830f001c	x_farming media CC BY-SA 4.0	#765080 22% colorize
mods/ITEMS/grug_farming/textures/grug_farming_blightberry_3.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_strawberry_3.png	73c80c750e48e622c2c85af35228fcd160820deef611a64e549d2bb08481a2ae	18765ac62ba7443da3f96e1817aa1d16355a6ebf6d2cf30ca2cd40f9bc1a7214	x_farming media CC BY-SA 4.0	#765080 22% colorize
mods/ITEMS/grug_farming/textures/grug_farming_blightberry_4.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_strawberry_4.png	d96da90d50655f17ce791b98bc1b177d5fd67b204f265b181ce9fa0c476e4164	50c24bfaf9420967861c3212f1b6b80c24520ba2f0dd14e78edf7304612eee42	x_farming media CC BY-SA 4.0	#765080 22% colorize
mods/ITEMS/grug_farming/textures/grug_farming_carrot_1.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_carrot_1.png	93207a675f2079a2c86a9b24933269790dc54d10f378babc364a98e1517acd53	93207a675f2079a2c86a9b24933269790dc54d10f378babc364a98e1517acd53	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_carrot_2.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_carrot_3.png	13c58f4c2fd973ea65f58f7c14334ce2be2986240bcebe5da46799ec4512e7cb	13c58f4c2fd973ea65f58f7c14334ce2be2986240bcebe5da46799ec4512e7cb	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_carrot_3.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_carrot_5.png	2b6549c6bee1caab7b5f851de992d880c2625299670255236b79ffc906347d38	2b6549c6bee1caab7b5f851de992d880c2625299670255236b79ffc906347d38	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_carrot_4.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_carrot_8.png	08c05701cbcdb57d5f37158544390431b6c7f94a9cf5fe154502b176a2ee40c8	08c05701cbcdb57d5f37158544390431b6c7f94a9cf5fe154502b176a2ee40c8	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_cassava_1.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_potato_1.png	3822161ad748bd89f303f61df5ec8f2cdd2b2edfeab3cc6359eaf0696a03b3c4	3822161ad748bd89f303f61df5ec8f2cdd2b2edfeab3cc6359eaf0696a03b3c4	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_cassava_2.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_potato_3.png	3822161ad748bd89f303f61df5ec8f2cdd2b2edfeab3cc6359eaf0696a03b3c4	3822161ad748bd89f303f61df5ec8f2cdd2b2edfeab3cc6359eaf0696a03b3c4	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_cassava_3.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_potato_6.png	5f8662d5164269275f6d0b384a8b602597a102a3f8cf0250e59676dfc69bd188	5f8662d5164269275f6d0b384a8b602597a102a3f8cf0250e59676dfc69bd188	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_cassava_4.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_potato_8.png	c5c2588957ef7292cb0ce7a5d9dee31c7db34df9d16366b43c385bcda03f3eaf	c5c2588957ef7292cb0ce7a5d9dee31c7db34df9d16366b43c385bcda03f3eaf	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_cave_cap_1.png	/home/jan/projects/grudgelands/reference_projects/goblins/textures/goblins_mushroom_brown.png	53ad48f3095b64170f6001f4928cb81c7187519f2ddd1bf46c4e2f3c0700bd39	53ad48f3095b64170f6001f4928cb81c7187519f2ddd1bf46c4e2f3c0700bd39	Francisco Athens CC BY-SA 3.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_cave_cap_2.png	/home/jan/projects/grudgelands/reference_projects/goblins/textures/goblins_mushroom_brown2.png	2ce99f70dddf09a1f34bd86350d6f5758b5ef22c43c7e0af36ab90a90f755e66	2ce99f70dddf09a1f34bd86350d6f5758b5ef22c43c7e0af36ab90a90f755e66	Francisco Athens CC BY-SA 3.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_cave_cap_3.png	/home/jan/projects/grudgelands/reference_projects/goblins/textures/goblins_mushroom_brown3.png	63bda5064b14e4d154ee0b35d71f04cd4d3a0d81311163a0f2e69e87200ffb67	63bda5064b14e4d154ee0b35d71f04cd4d3a0d81311163a0f2e69e87200ffb67	Francisco Athens CC BY-SA 3.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_cave_cap_4.png	/home/jan/projects/grudgelands/reference_projects/goblins/textures/goblins_mushroom_brown4.png	d9eb02ba3eaa2284a1d2f48fd5733ed5baffbf499c4dd023d8bd4c897691cabc	d9eb02ba3eaa2284a1d2f48fd5733ed5baffbf499c4dd023d8bd4c897691cabc	Francisco Athens CC BY-SA 3.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_corn_1.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_corn_1.png	00d113dc0ab3e23d5d25948df4e62ddc898879aa6e075ac0b4b00cda1d0eb95c	00d113dc0ab3e23d5d25948df4e62ddc898879aa6e075ac0b4b00cda1d0eb95c	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_corn_2.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_corn_4.png	68c70b8cb561f413632c26522d155d624cd059fdadfb7ddf9b8c307812dae28f	68c70b8cb561f413632c26522d155d624cd059fdadfb7ddf9b8c307812dae28f	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_corn_3.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_corn_7.png	594b0229bcddbb642a013a2fe2ecd09cfb7c091763a0561b8372ab570ed4b8fd	594b0229bcddbb642a013a2fe2ecd09cfb7c091763a0561b8372ab570ed4b8fd	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_corn_4.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_corn_10.png	45503f1c4992cb902facf863ac485be60e7da1141b9478d06c7855788101eb1d	45503f1c4992cb902facf863ac485be60e7da1141b9478d06c7855788101eb1d	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_ember_moss_1.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_obsidian_wart_1.png	ff7544cf4e34c850371c3a8a96e2bde884c3b69eeec14e7a281fb3703179b2e1	ff7544cf4e34c850371c3a8a96e2bde884c3b69eeec14e7a281fb3703179b2e1	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_ember_moss_2.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_obsidian_wart_2.png	05513054b2d5754cc87a997743e9c61f98dbf01bc19aa304298e61b02fc35967	05513054b2d5754cc87a997743e9c61f98dbf01bc19aa304298e61b02fc35967	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_ember_moss_3.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_obsidian_wart_4.png	431caa4a0662f8eb14ae0825ccbc9f704d401dc52da5da16fd5895f2f57abbc6	431caa4a0662f8eb14ae0825ccbc9f704d401dc52da5da16fd5895f2f57abbc6	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_ember_moss_4.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_obsidian_wart_6.png	37f0a30cc18d441878f2a2dbf8725fca081854182e51589552bde09f1454b587	37f0a30cc18d441878f2a2dbf8725fca081854182e51589552bde09f1454b587	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_fire_pepper_1.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_coffee_1.png	451e9aeb8972c93fbe64f9643aa03f155d494f6787ff9200c026e91e95548b5f	451e9aeb8972c93fbe64f9643aa03f155d494f6787ff9200c026e91e95548b5f	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_fire_pepper_2.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_coffee_2.png	f005d50813e4e031a52021bb68e8892099e4402fdde09e3ebb96a2d8e9e3e95e	f005d50813e4e031a52021bb68e8892099e4402fdde09e3ebb96a2d8e9e3e95e	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_fire_pepper_3.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_coffee_4.png	9094cb4ffade37d4435caf4ef76bbb36bb7c1463ff65610a204f3d28d2251ab8	9094cb4ffade37d4435caf4ef76bbb36bb7c1463ff65610a204f3d28d2251ab8	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_fire_pepper_4.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_coffee_5.png	9e6d3a33e4670a00c7fd46e36b977759650d5aecda71eaf7c02a08557b44911a	9e6d3a33e4670a00c7fd46e36b977759650d5aecda71eaf7c02a08557b44911a	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_frost_melon_1.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_melon_1.png	e567ab1358b00e14d79cbfd8db46128c19e0d20559699da9f0847ac2d486a302	e567ab1358b00e14d79cbfd8db46128c19e0d20559699da9f0847ac2d486a302	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_frost_melon_2.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_melon_3.png	2200402410ca4d92479e051cde90c75340905e64508d6b7bacdbd42511576bfa	2200402410ca4d92479e051cde90c75340905e64508d6b7bacdbd42511576bfa	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_frost_melon_3.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_melon_5.png	090ed320b5709bf52db432e8fbbc6cf36ff4749602e6d776fe4272e0243b2f1d	090ed320b5709bf52db432e8fbbc6cf36ff4749602e6d776fe4272e0243b2f1d	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_frost_melon_4.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_melon_8.png	3f3d932436c5f8da70c43b922b2ce05c6722a4abd39559cddd3709d385a3effe	3f3d932436c5f8da70c43b922b2ce05c6722a4abd39559cddd3709d385a3effe	x_farming media CC BY-SA 4.0	copy/rename
mods/ITEMS/grug_farming/textures/grug_farming_jungle_berry_1.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_strawberry_1.png	8072a6f8e9f27a38e925ca580bbba47e5eca347904aca59d31085ba8eb9c7067	e0ac21a09072e174e4ce906ea2e546189188744066a4ef719724395ea0ddbd07	x_farming media CC BY-SA 4.0	#a63848 22% colorize
mods/ITEMS/grug_farming/textures/grug_farming_jungle_berry_2.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_strawberry_2.png	ba2a3d99a83bc656943e862bf5e6637bf837381a5b52a41e11789cba422cdf26	cd4f6f5e1267d17a7586202cb84c24d9aba44108ae069db057fa86e90529c19c	x_farming media CC BY-SA 4.0	#a63848 22% colorize
mods/ITEMS/grug_farming/textures/grug_farming_jungle_berry_3.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_strawberry_3.png	73c80c750e48e622c2c85af35228fcd160820deef611a64e549d2bb08481a2ae	9b48dcf33632a07d70d2467f057c3b1e6d927628e24f9677989d30e32bdbc1c8	x_farming media CC BY-SA 4.0	#a63848 22% colorize
mods/ITEMS/grug_farming/textures/grug_farming_jungle_berry_4.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_strawberry_4.png	d96da90d50655f17ce791b98bc1b177d5fd67b204f265b181ce9fa0c476e4164	42fa263af98a54de768a2d7d897f26f856d0cc1b86f67ef03aa74e295d4023e6	x_farming media CC BY-SA 4.0	#a63848 22% colorize
mods/ITEMS/grug_farming/textures/grug_farming_potato_1.png	/home/jan/projects/grudgelands/reference_projects/x_farming/textures/x_farming_potato_1.png	3822161ad748bd89f303f61df5ec8f2cdd2b2edfeab3cc6359eaf0696a03b3c4	3822161ad748bd89f303f61df5ec8f2cdd2b2edfeab3cc6359eaf0696a03b3c4	x_farming media CC BY-SA 4.0	copy/rename
