# grug_wp13_lane_routes_v1 seed=531802985935182545 mode=crossing_rule min_clear=3
# spanned_columns=110 illegal=0 walk_faults=0 cross_faults=0 cuts=49 cut_faults=0
capital	run	lane	x	road_y	z	natural_y	deck_y	clear	verdict
highcourt	ring_west	-1	-97	35	-1463	35	40	3	under_clear
highcourt	ring_west	0	-96	35	-1463	35	40	3	under_clear
highcourt	ring_west	1	-95	35	-1463	35	40	3	under_clear
highcourt	ring_west	2	-94	35	-1463	35	40	3	under_clear
highcourt	ring_west	-2	-98	35	-1462	35	40	3	under_clear
highcourt	ring_west	-1	-97	35	-1462	35	40	3	under_clear
highcourt	ring_west	0	-96	35	-1462	35	40	3	under_clear
highcourt	ring_west	1	-95	35	-1462	35	40	3	under_clear
highcourt	ring_west	-2	-98	35	-1461	35	40	3	under_clear
highcourt	ring_north	-2	-32	41	-1406	35	40	-3	at_grade
highcourt	ring_north	-2	-37	41	-1406	35	41	-2	at_grade
highcourt	ring_north	-2	-36	41	-1406	35	41	-2	at_grade
highcourt	ring_north	-2	-35	41	-1406	35	41	-2	at_grade
highcourt	ring_north	-2	-34	41	-1406	35	41	-2	at_grade
highcourt	ring_north	-2	-33	41	-1406	35	41	-2	at_grade
highcourt	ring_north	-1	-38	41	-1405	35	41	-2	at_grade
highcourt	ring_north	-1	-37	41	-1405	35	41	-2	at_grade
highcourt	ring_north	-1	-36	41	-1405	35	41	-2	at_grade
highcourt	ring_north	-1	-35	41	-1405	35	41	-2	at_grade
highcourt	ring_north	-1	-34	41	-1405	35	41	-2	at_grade
highcourt	ring_north	-1	-33	41	-1405	35	41	-2	at_grade
highcourt	ring_north	-1	-32	41	-1405	35	41	-2	at_grade
highcourt	ring_north	-1	-31	41	-1405	35	41	-2	at_grade
highcourt	ring_north	0	-38	41	-1404	35	41	-2	at_grade
highcourt	ring_north	0	-37	41	-1404	35	41	-2	at_grade
highcourt	ring_north	0	-36	41	-1404	35	41	-2	at_grade
highcourt	ring_north	0	-35	41	-1404	35	41	-2	at_grade
highcourt	ring_north	0	-34	41	-1404	35	41	-2	at_grade
highcourt	ring_north	0	-33	41	-1404	35	41	-2	at_grade
highcourt	ring_north	0	-32	41	-1404	35	41	-2	at_grade
highcourt	ring_north	0	-31	41	-1404	35	41	-2	at_grade
highcourt	ring_north	1	-38	41	-1403	35	41	-2	at_grade
highcourt	ring_north	1	-37	41	-1403	35	41	-2	at_grade
highcourt	ring_north	1	-36	41	-1403	35	41	-2	at_grade
highcourt	ring_north	1	-35	41	-1403	35	41	-2	at_grade
highcourt	ring_north	1	-34	41	-1403	35	41	-2	at_grade
highcourt	ring_north	1	-33	41	-1403	35	41	-2	at_grade
highcourt	ring_north	1	-32	41	-1403	35	41	-2	at_grade
highcourt	ring_north	2	-39	41	-1402	35	41	-2	at_grade
highcourt	ring_north	2	-38	41	-1402	35	41	-2	at_grade
highcourt	ring_north	2	-37	41	-1402	35	41	-2	at_grade
highcourt	ring_north	2	-36	41	-1402	35	41	-2	at_grade
highcourt	ring_north	2	-35	41	-1402	35	41	-2	at_grade
highcourt	ring_north	2	-34	41	-1402	35	41	-2	at_grade
highcourt	ring_north	2	-33	41	-1402	35	41	-2	at_grade
highcourt	ring_north	2	-32	41	-1402	35	41	-2	at_grade
highcourt	lane_northwest_cross	-2	-51	41	-1356	35	41	-2	at_grade
highcourt	lane_northwest_cross	-2	-50	41	-1356	35	41	-2	at_grade
highcourt	lane_northwest_cross	-2	-49	41	-1356	35	41	-2	at_grade
highcourt	lane_northwest_cross	-2	-48	41	-1356	35	41	-2	at_grade
highcourt	lane_northwest_cross	-2	-47	41	-1356	35	41	-2	at_grade
highcourt	lane_northwest_cross	-2	-46	41	-1356	35	41	-2	at_grade
highcourt	lane_northwest_cross	-2	-45	41	-1356	35	41	-2	at_grade
highcourt	lane_northwest_cross	-1	-51	41	-1355	35	41	-2	at_grade
highcourt	lane_northwest_cross	-1	-50	41	-1355	35	41	-2	at_grade
highcourt	lane_northwest_cross	-1	-49	41	-1355	35	41	-2	at_grade
highcourt	lane_northwest_cross	-1	-48	41	-1355	35	41	-2	at_grade
highcourt	lane_northwest_cross	-1	-47	41	-1355	35	41	-2	at_grade
highcourt	lane_northwest_cross	-1	-46	41	-1355	35	41	-2	at_grade
highcourt	lane_northwest_cross	-1	-45	41	-1355	35	41	-2	at_grade
highcourt	lane_northwest_cross	0	-51	41	-1354	35	41	-2	at_grade
highcourt	lane_northwest_cross	0	-50	41	-1354	35	41	-2	at_grade
highcourt	lane_northwest_cross	0	-49	41	-1354	35	41	-2	at_grade
highcourt	lane_northwest_cross	0	-48	41	-1354	35	41	-2	at_grade
highcourt	lane_northwest_cross	0	-47	41	-1354	35	41	-2	at_grade
highcourt	lane_northwest_cross	0	-46	41	-1354	35	41	-2	at_grade
highcourt	lane_northwest_cross	0	-45	41	-1354	35	41	-2	at_grade
highcourt	lane_northwest_cross	1	-51	41	-1353	35	40	-3	at_grade
highcourt	lane_northwest_cross	1	-50	41	-1353	35	40	-3	at_grade
highcourt	lane_northwest_cross	1	-49	41	-1353	35	40	-3	at_grade
highcourt	lane_northwest_cross	1	-48	41	-1353	35	40	-3	at_grade
highcourt	lane_northwest_cross	1	-47	41	-1353	35	40	-3	at_grade
highcourt	lane_northwest_cross	1	-46	41	-1353	35	40	-3	at_grade
highcourt	lane_northwest_cross	1	-45	41	-1353	35	40	-3	at_grade
highcourt	lane_northwest_cross	2	-51	41	-1352	35	39	-4	at_grade
highcourt	lane_northwest_cross	2	-50	41	-1352	35	39	-4	at_grade
highcourt	lane_northwest_cross	2	-49	41	-1352	35	39	-4	at_grade
highcourt	lane_northwest_cross	2	-48	41	-1352	35	39	-4	at_grade
highcourt	lane_northwest_cross	2	-47	41	-1352	35	39	-4	at_grade
highcourt	lane_northwest_cross	2	-46	41	-1352	35	39	-4	at_grade
highcourt	lane_northwest_cross	2	-45	41	-1352	35	39	-4	at_grade
# highcourt	lane_northwest_cross	at_grade	35
# highcourt	ring_north	at_grade	37
# highcourt	ring_west	under_clear	38
