# grug_wp13_lane_routes_v1 seed=531802985935182545 mode=legacy min_clear=3
# spanned_columns=110 illegal=17 walk_faults=0 cross_faults=0 cuts=0 cut_faults=0
capital	run	lane	x	road_y	z	natural_y	deck_y	clear	verdict
highcourt	ring_west	-1	-97	35	-1463	35	40	3	under_clear
highcourt	ring_west	0	-96	35	-1463	35	40	3	under_clear
highcourt	ring_west	1	-95	35	-1463	35	40	3	under_clear
highcourt	ring_west	2	-94	35	-1463	35	40	3	under_clear
highcourt	ring_west	-2	-98	35	-1462	35	40	3	under_clear
highcourt	ring_west	-1	-97	35	-1462	35	40	3	under_clear
highcourt	ring_west	0	-96	35	-1462	35	40	3	under_clear
highcourt	ring_west	1	-95	35	-1462	35	40	3	under_clear
highcourt	ring_west	-2	-98	35	-1461	35	40	3	under_clear
highcourt	ring_north	-2	-37	35	-1406	35	41	4	under_clear
highcourt	ring_north	-2	-36	35	-1406	35	41	4	under_clear
highcourt	ring_north	-2	-35	36	-1406	35	41	3	under_clear
highcourt	ring_north	-2	-34	37	-1406	35	41	2	ILLEGAL
highcourt	ring_north	-2	-33	38	-1406	35	41	1	ILLEGAL
highcourt	ring_north	-2	-32	39	-1406	35	40	-1	ILLEGAL
highcourt	ring_north	-1	-38	35	-1405	35	41	4	under_clear
highcourt	ring_north	-1	-37	35	-1405	35	41	4	under_clear
highcourt	ring_north	-1	-36	36	-1405	35	41	3	under_clear
highcourt	ring_north	-1	-35	37	-1405	35	41	2	ILLEGAL
highcourt	ring_north	-1	-34	38	-1405	35	41	1	ILLEGAL
highcourt	ring_north	-1	-33	39	-1405	35	41	0	ILLEGAL
highcourt	ring_north	-1	-32	40	-1405	35	41	-1	ILLEGAL
highcourt	ring_north	-1	-31	41	-1405	35	41	-2	at_grade
highcourt	ring_north	0	-38	35	-1404	35	41	4	under_clear
highcourt	ring_north	0	-37	35	-1404	35	41	4	under_clear
highcourt	ring_north	0	-36	35	-1404	35	41	4	under_clear
highcourt	ring_north	0	-35	35	-1404	35	41	4	under_clear
highcourt	ring_north	0	-34	35	-1404	35	41	4	under_clear
highcourt	ring_north	0	-33	36	-1404	35	41	3	under_clear
highcourt	ring_north	0	-32	37	-1404	35	41	2	ILLEGAL
highcourt	ring_north	0	-31	38	-1404	35	41	1	ILLEGAL
highcourt	ring_north	1	-38	35	-1403	35	41	4	under_clear
highcourt	ring_north	1	-37	35	-1403	35	41	4	under_clear
highcourt	ring_north	1	-36	35	-1403	35	41	4	under_clear
highcourt	ring_north	1	-35	35	-1403	35	41	4	under_clear
highcourt	ring_north	1	-34	35	-1403	35	41	4	under_clear
highcourt	ring_north	1	-33	36	-1403	35	41	3	under_clear
highcourt	ring_north	1	-32	37	-1403	35	41	2	ILLEGAL
highcourt	ring_north	2	-39	35	-1402	35	41	4	under_clear
highcourt	ring_north	2	-38	35	-1402	35	41	4	under_clear
highcourt	ring_north	2	-37	35	-1402	35	41	4	under_clear
highcourt	ring_north	2	-36	35	-1402	35	41	4	under_clear
highcourt	ring_north	2	-35	35	-1402	35	41	4	under_clear
highcourt	ring_north	2	-34	35	-1402	35	41	4	under_clear
highcourt	ring_north	2	-33	35	-1402	35	41	4	under_clear
highcourt	ring_north	2	-32	35	-1402	35	41	4	under_clear
highcourt	lane_northwest_cross	-2	-51	35	-1356	35	41	4	under_clear
highcourt	lane_northwest_cross	-2	-50	35	-1356	35	41	4	under_clear
highcourt	lane_northwest_cross	-2	-49	35	-1356	35	41	4	under_clear
highcourt	lane_northwest_cross	-2	-48	35	-1356	35	41	4	under_clear
highcourt	lane_northwest_cross	-2	-47	35	-1356	35	41	4	under_clear
highcourt	lane_northwest_cross	-2	-46	35	-1356	35	41	4	under_clear
highcourt	lane_northwest_cross	-2	-45	35	-1356	35	41	4	under_clear
highcourt	lane_northwest_cross	-1	-51	35	-1355	35	41	4	under_clear
highcourt	lane_northwest_cross	-1	-50	35	-1355	35	41	4	under_clear
highcourt	lane_northwest_cross	-1	-49	35	-1355	35	41	4	under_clear
highcourt	lane_northwest_cross	-1	-48	35	-1355	35	41	4	under_clear
highcourt	lane_northwest_cross	-1	-47	35	-1355	35	41	4	under_clear
highcourt	lane_northwest_cross	-1	-46	35	-1355	35	41	4	under_clear
highcourt	lane_northwest_cross	-1	-45	35	-1355	35	41	4	under_clear
highcourt	lane_northwest_cross	0	-51	35	-1354	35	41	4	under_clear
highcourt	lane_northwest_cross	0	-50	35	-1354	35	41	4	under_clear
highcourt	lane_northwest_cross	0	-49	35	-1354	35	41	4	under_clear
highcourt	lane_northwest_cross	0	-48	35	-1354	35	41	4	under_clear
highcourt	lane_northwest_cross	0	-47	35	-1354	35	41	4	under_clear
highcourt	lane_northwest_cross	0	-46	35	-1354	35	41	4	under_clear
highcourt	lane_northwest_cross	0	-45	35	-1354	35	41	4	under_clear
highcourt	lane_northwest_cross	1	-51	35	-1353	35	40	3	under_clear
highcourt	lane_northwest_cross	1	-50	35	-1353	35	40	3	under_clear
highcourt	lane_northwest_cross	1	-49	35	-1353	35	40	3	under_clear
highcourt	lane_northwest_cross	1	-48	35	-1353	35	40	3	under_clear
highcourt	lane_northwest_cross	1	-47	35	-1353	35	40	3	under_clear
highcourt	lane_northwest_cross	1	-46	35	-1353	35	40	3	under_clear
highcourt	lane_northwest_cross	1	-45	35	-1353	35	40	3	under_clear
highcourt	lane_northwest_cross	2	-51	36	-1352	35	39	1	ILLEGAL
highcourt	lane_northwest_cross	2	-50	35	-1352	35	39	2	ILLEGAL
highcourt	lane_northwest_cross	2	-49	35	-1352	35	39	2	ILLEGAL
highcourt	lane_northwest_cross	2	-48	35	-1352	35	39	2	ILLEGAL
highcourt	lane_northwest_cross	2	-47	35	-1352	35	39	2	ILLEGAL
highcourt	lane_northwest_cross	2	-46	35	-1352	35	39	2	ILLEGAL
highcourt	lane_northwest_cross	2	-45	35	-1352	35	39	2	ILLEGAL
# highcourt	lane_northwest_cross	ILLEGAL	7
# highcourt	lane_northwest_cross	under_clear	28
# highcourt	ring_north	ILLEGAL	10
# highcourt	ring_north	at_grade	1
# highcourt	ring_north	under_clear	26
# highcourt	ring_west	under_clear	38
