event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=23596699
event=mapchunk case=plot_homes_orchard mapchunk=-112:48:-1712 kind=capital elapsed_us=194663
event=mapchunk case=run_avenue_south mapchunk=-32:-32:-1792 kind=capital elapsed_us=847850
event=mapchunk case=run_avenue_south mapchunk=-32:-32:-1712 kind=capital elapsed_us=534970
event=mapchunk case=run_avenue_south mapchunk=-32:-32:-1632 kind=capital elapsed_us=524556
event=mapchunk case=run_avenue_north mapchunk=-32:-32:-1392 kind=capital elapsed_us=721599
event=mapchunk case=run_avenue_north mapchunk=-32:-32:-1312 kind=capital elapsed_us=684961
event=mapchunk case=run_avenue_west mapchunk=-272:-32:-1552 kind=capital elapsed_us=867381
event=mapchunk case=run_avenue_west mapchunk=-192:-32:-1552 kind=capital elapsed_us=622933
event=mapchunk case=run_avenue_east mapchunk=48:-32:-1552 kind=capital elapsed_us=751261
event=mapchunk case=run_avenue_east mapchunk=128:-32:-1552 kind=capital elapsed_us=663662
event=mapchunk case=run_avenue_east mapchunk=208:-32:-1552 kind=capital elapsed_us=839684
event=mapchunk case=run_lane_northwest_spine mapchunk=-272:-32:-1312 kind=capital elapsed_us=796641
event=mapchunk case=run_lane_northwest_cross mapchunk=-112:-32:-1392 kind=capital elapsed_us=714351
event=mapchunk case=control_open_land mapchunk=848:-32:848 kind=control elapsed_us=656951
event=mapchunk case=control_open_land_far mapchunk=1168:128:768 kind=control elapsed_us=592437
event=mapchunk case=control_dawnmere_start mapchunk=-32:-32:-2592 kind=control elapsed_us=2553
