case_id	result
ellipse_141	speargrass_hunting_stones:-701:1650:0:1:0
ellipse_142	speargrass_hunting_stones:-699:1650:0:1:0
ellipse_143	speargrass_hunting_stones:-701:1850:0:1:0
ellipse_144	speargrass_hunting_stones:-699:1850:0:1:0
ellipse_145	bannerbreak_crowned_mesa:-1:430:0:1:0
ellipse_146	bannerbreak_crowned_mesa:1:430:0:1:0
ellipse_147	bannerbreak_crowned_mesa:-230:516:0:1:0
ellipse_148	bannerbreak_crowned_mesa:230:516:0:1:0
ellipse_149	bannerbreak_crowned_mesa:-290:649:0:1:0
ellipse_150	bannerbreak_crowned_mesa:290:649:0:1:0
ellipse_151	bannerbreak_crowned_mesa:-290:651:0:1:0
ellipse_152	bannerbreak_crowned_mesa:290:651:0:1:0
ellipse_153	bannerbreak_crowned_mesa:-230:784:0:1:0
ellipse_154	bannerbreak_crowned_mesa:230:784:0:1:0
ellipse_155	bannerbreak_crowned_mesa:-1:870:0:1:0
ellipse_156	bannerbreak_crowned_mesa:1:870:0:1:0
ellipse_157	kapok_worldtree_basin:1799:2300:0:1:0
ellipse_158	kapok_worldtree_basin:1801:2300:0:1:0
ellipse_159	kapok_worldtree_basin:1570:2386:0:1:0
ellipse_160	kapok_worldtree_basin:2030:2386:0:1:0
ellipse_161	kapok_worldtree_basin:1510:2519:0:1:0
ellipse_162	kapok_worldtree_basin:2090:2519:0:1:0
ellipse_163	kapok_worldtree_basin:1510:2521:0:1:0
ellipse_164	kapok_worldtree_basin:2090:2521:0:1:0
ellipse_165	kapok_worldtree_basin:1570:2654:0:1:0
ellipse_166	kapok_worldtree_basin:2030:2654:0:1:0
ellipse_167	kapok_worldtree_basin:1799:2740:0:1:0
ellipse_168	kapok_worldtree_basin:1801:2740:0:1:0
ellipse_169	kezamba_cenote:1799:1280:0:1:0
ellipse_170	kezamba_cenote:1801:1280:0:1:0
ellipse_171	kezamba_cenote:1747:1285:0:1:0
ellipse_172	kezamba_cenote:1853:1285:0:1:0
ellipse_173	kezamba_cenote:1742:1286:0:1:0
ellipse_174	kezamba_cenote:1858:1286:0:1:0
ellipse_175	kezamba_cenote:1680:1307:0:1:0
ellipse_176	kezamba_cenote:1920:1307:0:1:0
ellipse_177	kezamba_cenote:1614:1353:0:1:0
ellipse_178	kezamba_cenote:1986:1353:0:1:0
ellipse_179	kezamba_cenote:1589:1382:0:1:0
ellipse_180	kezamba_cenote:2011:1382:0:1:0
ellipse_181	kezamba_cenote:1553:1466:0:1:0
ellipse_182	kezamba_cenote:2047:1466:0:1:0
ellipse_183	kezamba_cenote:1550:1499:0:1:0
ellipse_184	kezamba_cenote:2050:1499:0:1:0
ellipse_185	kezamba_cenote:1550:1501:0:1:0
ellipse_186	kezamba_cenote:2050:1501:0:1:0
ellipse_187	kezamba_cenote:1553:1534:0:1:0
ellipse_188	kezamba_cenote:2047:1534:0:1:0
ellipse_189	kezamba_cenote:1589:1618:0:1:0
ellipse_190	kezamba_cenote:2011:1618:0:1:0
ellipse_191	kezamba_cenote:1614:1647:0:1:0
ellipse_192	kezamba_cenote:1986:1647:0:1:0
ellipse_193	kezamba_cenote:1680:1693:0:1:0
ellipse_194	kezamba_cenote:1920:1693:0:1:0
ellipse_195	kezamba_cenote:1742:1714:0:1:0
ellipse_196	kezamba_cenote:1858:1714:0:1:0
ellipse_197	kezamba_cenote:1747:1715:0:1:0
ellipse_198	kezamba_cenote:1853:1715:0:1:0
ellipse_199	kezamba_cenote:1799:1720:0:1:0
ellipse_200	kezamba_cenote:1801:1720:0:1:0
ellipse_201	totemwater_colossi:2275:1667:0:1:0
ellipse_202	totemwater_colossi:2485:1667:0:1:0
ellipse_203	totemwater_colossi:2234:1705:0:1:0
ellipse_204	totemwater_colossi:2526:1705:0:1:0
ellipse_205	totemwater_colossi:2234:1795:0:1:0
ellipse_206	totemwater_colossi:2526:1795:0:1:0
ellipse_207	totemwater_colossi:2275:1833:0:1:0
ellipse_208	totemwater_colossi:2485:1833:0:1:0
ellipse_209	thunderroot_ochresteps:1549:500:0:1:0
ellipse_210	thunderroot_ochresteps:1551:500:0:1:0
ellipse_211	thunderroot_ochresteps:1492:507:0:1:0
ellipse_212	thunderroot_ochresteps:1608:507:0:1:0
ellipse_213	thunderroot_ochresteps:1418:540:0:1:0
ellipse_214	thunderroot_ochresteps:1682:540:0:1:0
ellipse_215	thunderroot_ochresteps:1340:679:0:1:0
ellipse_216	thunderroot_ochresteps:1760:679:0:1:0
ellipse_217	thunderroot_ochresteps:1340:681:0:1:0
ellipse_218	thunderroot_ochresteps:1760:681:0:1:0
ellipse_219	thunderroot_ochresteps:1418:820:0:1:0
ellipse_220	thunderroot_ochresteps:1682:820:0:1:0
ellipse_221	thunderroot_ochresteps:1492:853:0:1:0
ellipse_222	thunderroot_ochresteps:1608:853:0:1:0
ellipse_223	thunderroot_ochresteps:1549:860:0:1:0
ellipse_224	thunderroot_ochresteps:1551:860:0:1:0
ellipse_225	wyrmglass_ring:-3151:-300:0:1:0
ellipse_226	wyrmglass_ring:-3149:-300:0:1:0
ellipse_227	wyrmglass_ring:-3246:-277:0:1:0
ellipse_228	wyrmglass_ring:-3054:-277:0:1:0
ellipse_229	wyrmglass_ring:-3264:-267:0:1:0
ellipse_230	wyrmglass_ring:-3036:-267:0:1:0
ellipse_231	wyrmglass_ring:-3362:-159:0:1:0
ellipse_232	wyrmglass_ring:-2938:-159:0:1:0
ellipse_233	wyrmglass_ring:-3400:-1:0:1:0
ellipse_234	wyrmglass_ring:-2900:-1:0:1:0
ellipse_235	wyrmglass_ring:-3400:1:0:1:0
ellipse_236	wyrmglass_ring:-2900:1:0:1:0
ellipse_237	wyrmglass_ring:-3362:159:0:1:0
ellipse_238	wyrmglass_ring:-2938:159:0:1:0
ellipse_239	wyrmglass_ring:-3264:267:0:1:0
ellipse_240	wyrmglass_ring:-3036:267:0:1:0
ellipse_241	wyrmglass_ring:-3246:277:0:1:0
ellipse_242	wyrmglass_ring:-3054:277:0:1:0
ellipse_243	wyrmglass_ring:-3151:300:0:1:0
ellipse_244	wyrmglass_ring:-3149:300:0:1:0
ellipse_245	stormscale_caldera:3149:-300:0:1:0
ellipse_246	stormscale_caldera:3151:-300:0:1:0
ellipse_247	stormscale_caldera:3054:-277:0:1:0
ellipse_248	stormscale_caldera:3246:-277:0:1:0
ellipse_249	stormscale_caldera:3036:-267:0:1:0
ellipse_250	stormscale_caldera:3264:-267:0:1:0
ellipse_251	stormscale_caldera:2938:-159:0:1:0
ellipse_252	stormscale_caldera:3362:-159:0:1:0
ellipse_253	stormscale_caldera:2900:-1:0:1:0
ellipse_254	stormscale_caldera:3400:-1:0:1:0
ellipse_255	stormscale_caldera:2900:1:0:1:0
ellipse_256	stormscale_caldera:3400:1:0:1:0
ellipse_257	stormscale_caldera:2938:159:0:1:0
ellipse_258	stormscale_caldera:3362:159:0:1:0
ellipse_259	stormscale_caldera:3036:267:0:1:0
ellipse_260	stormscale_caldera:3264:267:0:1:0
ellipse_261	stormscale_caldera:3054:277:0:1:0
ellipse_262	stormscale_caldera:3246:277:0:1:0
ellipse_263	stormscale_caldera:3149:300:0:1:0
ellipse_264	stormscale_caldera:3151:300:0:1:0
