resource	tier	variant	eligible	budget	planned	accepted	collisions	shortfall	placed
silver	5	sampler	3713839	3630	1019	1019	20	0	3630
silver	6	baseline	7561000	9082	3183	3183	111	0	9082
silver	6	sampler	7561000	9082	3183	3183	101	0	9082
tin	1	baseline	1523806	3973	802	802	21	0	3973
tin	1	sampler	1523806	3973	802	802	20	0	3973
tin	2	baseline	1697741	4409	808	808	13	0	4409
tin	2	sampler	1697741	4409	808	808	21	0	4409
tin	3	baseline	1453142	3766	720	720	26	0	3766
tin	3	sampler	1453142	3766	720	720	17	0	3766
tin	4	baseline	2838672	7399	1422	1422	48	0	7399
tin	4	sampler	2838672	7399	1422	1422	36	0	7399
tin	5	baseline	3713839	9651	1881	1881	42	0	9651
tin	5	sampler	3713839	9651	1881	1881	47	0	9651
tin	6	baseline	7561000	24115	4064	4064	131	6	24109
tin	6	sampler	7561000	24115	4064	4064	140	3	24112
