event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=25045040
event=mapchunk case=run_avenue_south mapchunk=-1872:128:-1632 kind=capital elapsed_us=228886
event=mapchunk case=run_avenue_south mapchunk=-1872:48:-1552 kind=capital elapsed_us=893751
event=mapchunk case=run_avenue_north mapchunk=-1872:48:-1472 kind=capital elapsed_us=909241
event=mapchunk case=run_avenue_north mapchunk=-1872:48:-1392 kind=capital elapsed_us=834905
event=mapchunk case=run_avenue_north mapchunk=-1872:128:-1392 kind=capital elapsed_us=201786
event=mapchunk case=run_avenue_north mapchunk=-1872:48:-1312 kind=capital elapsed_us=756640
event=mapchunk case=run_avenue_north mapchunk=-1872:128:-1312 kind=capital elapsed_us=260939
event=mapchunk case=run_avenue_west mapchunk=-2112:48:-1552 kind=capital elapsed_us=820956
event=mapchunk case=run_avenue_west mapchunk=-2032:48:-1552 kind=capital elapsed_us=687384
event=mapchunk case=run_avenue_west mapchunk=-1952:48:-1552 kind=capital elapsed_us=700073
event=mapchunk case=run_avenue_west mapchunk=-2112:128:-1552 kind=capital elapsed_us=105114
event=mapchunk case=run_avenue_west mapchunk=-2032:128:-1552 kind=capital elapsed_us=97090
event=mapchunk case=run_avenue_west mapchunk=-1952:128:-1552 kind=capital elapsed_us=198279
event=mapchunk case=run_avenue_east mapchunk=-1792:48:-1552 kind=capital elapsed_us=1134237
event=mapchunk case=run_avenue_east mapchunk=-1552:48:-1552 kind=capital elapsed_us=1089996
event=mapchunk case=run_avenue_east mapchunk=-1712:128:-1552 kind=capital elapsed_us=492586
event=mapchunk case=run_avenue_east mapchunk=-1632:128:-1552 kind=capital elapsed_us=285028
event=mapchunk case=run_avenue_east mapchunk=-1552:128:-1552 kind=capital elapsed_us=161602
event=mapchunk case=run_ring_west mapchunk=-1952:48:-1632 kind=capital elapsed_us=770708
event=mapchunk case=run_ring_west mapchunk=-1952:128:-1632 kind=capital elapsed_us=97827
event=mapchunk case=run_ring_west mapchunk=-1952:48:-1472 kind=capital elapsed_us=937251
event=mapchunk case=run_ring_west mapchunk=-1952:128:-1472 kind=capital elapsed_us=255217
event=mapchunk case=run_ring_east mapchunk=-1712:128:-1472 kind=capital elapsed_us=521008
event=mapchunk case=run_ring_south mapchunk=-1792:48:-1632 kind=capital elapsed_us=1165957
event=mapchunk case=run_ring_north mapchunk=-1792:48:-1472 kind=capital elapsed_us=970907
event=mapchunk case=run_wall_west mapchunk=-2112:48:-1792 kind=capital elapsed_us=967773
event=mapchunk case=run_wall_west mapchunk=-2112:128:-1792 kind=capital elapsed_us=109073
event=mapchunk case=run_wall_west mapchunk=-2112:48:-1712 kind=capital elapsed_us=667108
event=mapchunk case=run_wall_west mapchunk=-2112:128:-1712 kind=capital elapsed_us=105894
event=mapchunk case=run_wall_west mapchunk=-2112:48:-1632 kind=capital elapsed_us=656107
event=mapchunk case=run_wall_west mapchunk=-2112:128:-1632 kind=capital elapsed_us=106566
event=mapchunk case=run_wall_west mapchunk=-2112:48:-1472 kind=capital elapsed_us=866264
event=mapchunk case=run_wall_west mapchunk=-2112:128:-1472 kind=capital elapsed_us=138463
event=mapchunk case=run_wall_west mapchunk=-2112:48:-1392 kind=capital elapsed_us=752332
event=mapchunk case=run_wall_west mapchunk=-2112:128:-1392 kind=capital elapsed_us=133645
event=mapchunk case=run_wall_west mapchunk=-2112:48:-1312 kind=capital elapsed_us=756518
event=mapchunk case=run_wall_west mapchunk=-2112:128:-1312 kind=capital elapsed_us=111779
event=mapchunk case=run_wall_east mapchunk=-1552:48:-1792 kind=capital elapsed_us=960290
event=mapchunk case=run_wall_east mapchunk=-1552:128:-1792 kind=capital elapsed_us=106968
event=mapchunk case=run_wall_east mapchunk=-1552:48:-1712 kind=capital elapsed_us=884488
event=mapchunk case=run_wall_east mapchunk=-1552:128:-1712 kind=capital elapsed_us=152067
event=mapchunk case=run_wall_east mapchunk=-1552:48:-1632 kind=capital elapsed_us=944494
event=mapchunk case=run_wall_east mapchunk=-1552:128:-1632 kind=capital elapsed_us=190835
event=mapchunk case=run_wall_east mapchunk=-1552:48:-1472 kind=capital elapsed_us=1068569
event=mapchunk case=run_wall_east mapchunk=-1552:128:-1472 kind=capital elapsed_us=249059
event=mapchunk case=run_wall_east mapchunk=-1552:48:-1392 kind=capital elapsed_us=864697
event=mapchunk case=run_wall_east mapchunk=-1552:128:-1392 kind=capital elapsed_us=131454
event=mapchunk case=run_wall_east mapchunk=-1552:48:-1312 kind=capital elapsed_us=788480
event=mapchunk case=run_wall_east mapchunk=-1552:128:-1312 kind=capital elapsed_us=132142
event=mapchunk case=run_wall_south mapchunk=-2032:48:-1792 kind=capital elapsed_us=1029896
event=mapchunk case=run_wall_south mapchunk=-1952:48:-1792 kind=capital elapsed_us=819158
event=mapchunk case=run_wall_south mapchunk=-1792:48:-1792 kind=capital elapsed_us=1018637
event=mapchunk case=run_wall_south mapchunk=-1712:48:-1792 kind=capital elapsed_us=764297
event=mapchunk case=run_wall_south mapchunk=-1632:48:-1792 kind=capital elapsed_us=760491
event=mapchunk case=run_wall_south mapchunk=-2032:128:-1792 kind=capital elapsed_us=108936
event=mapchunk case=run_wall_south mapchunk=-1952:128:-1792 kind=capital elapsed_us=115561
event=mapchunk case=run_wall_south mapchunk=-1792:128:-1792 kind=capital elapsed_us=148862
event=mapchunk case=run_wall_south mapchunk=-1712:128:-1792 kind=capital elapsed_us=113207
event=mapchunk case=run_wall_south mapchunk=-1632:128:-1792 kind=capital elapsed_us=109543
event=mapchunk case=run_wall_north mapchunk=-2032:48:-1312 kind=capital elapsed_us=906681
event=mapchunk case=run_wall_north mapchunk=-1952:48:-1312 kind=capital elapsed_us=742673
event=mapchunk case=run_wall_north mapchunk=-1792:48:-1312 kind=capital elapsed_us=935616
event=mapchunk case=run_wall_north mapchunk=-1712:48:-1312 kind=capital elapsed_us=708079
event=mapchunk case=run_wall_north mapchunk=-1632:48:-1312 kind=capital elapsed_us=705805
event=mapchunk case=run_wall_north mapchunk=-2032:128:-1312 kind=capital elapsed_us=102744
event=mapchunk case=run_wall_north mapchunk=-1952:128:-1312 kind=capital elapsed_us=179887
event=mapchunk case=run_wall_north mapchunk=-1792:128:-1312 kind=capital elapsed_us=272983
event=mapchunk case=run_wall_north mapchunk=-1712:128:-1312 kind=capital elapsed_us=177235
event=mapchunk case=run_wall_north mapchunk=-1632:128:-1312 kind=capital elapsed_us=102633
event=mapchunk case=control_open_land mapchunk=848:-32:848 kind=control elapsed_us=744255
event=mapchunk case=control_open_land_far mapchunk=1168:128:768 kind=control elapsed_us=610541
event=mapchunk case=control_dawnmere_start mapchunk=-32:-32:-2592 kind=control elapsed_us=2631
