ACTION[Main]: GRUG_WP13_HIGHCOURT event=start engine=5.17.0 seed=531802985935182545 manifest=f19c5cdccd27c75e882d050360f01651139b1ffe8ac0b203eb27a14b53bb1624 sockets_registered=201 anchor=0,40,-1500 mode=full build_us=module_load=12789,core=133158,plot_market_granary=7158,plot_market_stable=5839,plot_market_workshop=7090,plot_market_counting_house=7721,plot_market_well=3199,plot_market_watch=8554,plot_market_grove=7698,plot_market_orchard=5594,plot_market_store=5072
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time module_load=12789
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time core=133158
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_granary=7158
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_stable=5839
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_workshop=7090
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_counting_house=7721
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_well=3199
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_watch=8554
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_grove=7698
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_orchard=5594
ACTION[Main]: GRUG_WP13_HIGHCOURT event=build_time plot_market_store=5072
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket sockets=105
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_guard_patrol=28
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_guard_post=13
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_idle=59
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_king=1
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_quest=1
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_vendor=2
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket role_waypoint=1
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loops=6
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loop_highcourt_gate_east_tower=2
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loop_highcourt_gate_north_tower=2
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loop_highcourt_gate_south_tower=2
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loop_highcourt_gate_west_tower=2
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loop_highcourt_market_watch=10
ACTION[Main]: GRUG_WP13_HIGHCOURT event=socket loop_highcourt_watch=10
ACTION[Main]: GRUG_WP13_HIGHCOURT event=corpus mapchunks=47
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=21472815
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=plot_market_counting_house mapchunk=128:-32:-1552 kind=capital elapsed_us=784022
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=plot_market_counting_house mapchunk=208:-32:-1552 kind=capital elapsed_us=753643
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=plot_market_counting_house mapchunk=128:-32:-1472 kind=capital elapsed_us=663657
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=plot_market_counting_house mapchunk=208:-32:-1472 kind=capital elapsed_us=649586
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=plot_market_well mapchunk=128:-32:-1632 kind=capital elapsed_us=743864
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=plot_market_grove mapchunk=48:-32:-1632 kind=capital elapsed_us=716835
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=plot_market_grove mapchunk=48:48:-1632 kind=capital elapsed_us=186868
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=plot_market_orchard mapchunk=48:48:-1472 kind=capital elapsed_us=252022
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_south mapchunk=-32:-32:-1792 kind=capital elapsed_us=1034699
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_south mapchunk=-32:48:-1792 kind=capital elapsed_us=259369
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_south mapchunk=-32:-32:-1712 kind=capital elapsed_us=726886
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_south mapchunk=-32:48:-1712 kind=capital elapsed_us=225071
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_south mapchunk=-32:-32:-1632 kind=capital elapsed_us=712117
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_south mapchunk=-32:48:-1632 kind=capital elapsed_us=205893
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_north mapchunk=-32:-32:-1392 kind=capital elapsed_us=861915
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_north mapchunk=-32:-32:-1312 kind=capital elapsed_us=787402
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_west mapchunk=-272:-32:-1552 kind=capital elapsed_us=754761
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_west mapchunk=-192:-32:-1552 kind=capital elapsed_us=690689
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_west mapchunk=-272:48:-1552 kind=capital elapsed_us=102650
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_west mapchunk=-192:48:-1552 kind=capital elapsed_us=98390
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_east mapchunk=128:48:-1552 kind=capital elapsed_us=420361
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_avenue_east mapchunk=208:48:-1552 kind=capital elapsed_us=327257
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_ring_west mapchunk=-112:-32:-1632 kind=capital elapsed_us=937153
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=run_ring_west mapchunk=-112:48:-1632 kind=capital elapsed_us=225642
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=control_open_land mapchunk=848:-32:848 kind=control elapsed_us=787220
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=control_open_land_far mapchunk=1168:48:768 kind=control elapsed_us=1183071
ACTION[Emerge-0]: GRUG_WP13_HIGHCOURT event=mapchunk case=control_dawnmere_start mapchunk=-32:-32:-2592 kind=control elapsed_us=2765
ACTION[Server]: GRUG_WP13_HIGHCOURT event=dump file=highcourt-core.tsv cells=43075 ignored=0 road_cells=6248 road_digest=45986ff5f64aab9e7debb2102221082649bba44daee8fa22e9203762b1427c65
ACTION[Server]: GRUG_WP13_HIGHCOURT event=dump file=highcourt-plot.tsv cells=5760 ignored=0 road_cells=287 road_digest=19f891ba73f25b3934fede78a7081625bc080d8e3f419a348162741ffd78e523
ACTION[Server]: GRUG_WP13_HIGHCOURT event=dump file=highcourt-avenue.tsv cells=79752 ignored=0 road_cells=1595 road_digest=9d6f0167f043f8993edef2a44b60afd37a530e07691ccff9c600b37bd93640a2
ACTION[Server]: GRUG_WP13_HIGHCOURT event=complete mode=full requested=47 completed=47 warmup_chunks=1 warmup_total_us=21472815 warmup_first_us=21472815 warmup_worst_us=21472815 warmup_best_us=21472815 capital_chunks=35 capital_total_us=18143445 capital_first_us=1026419 capital_worst_us=1034699 capital_best_us=98390 capital_steady_mean_us=503441 control_capital_chunks=8 control_capital_total_us=27666806 control_capital_first_us=11671779 control_capital_worst_us=13975984 control_capital_best_us=177651 control_capital_steady_mean_us=2285003 control_chunks=3 control_total_us=1973056 control_first_us=787220 control_worst_us=1183071 control_best_us=2765 control_steady_mean_us=592918 core_cells=43075 core_ignored=0 core_road_cells=6248 plot_cells=5760 plot_ignored=0 plot_road_cells=287 avenue_cells=79752 avenue_ignored=0 avenue_road_cells=1595 avenue_road_digest=9d6f0167f043f8993edef2a44b60afd37a530e07691ccff9c600b37bd93640a2 worst_plot_fall=4 worst_plot=market_granary worst_plot_submerged=0 worst_submerged_plot=- sockets=105 role_guard_patrol=28 role_guard_post=13 role_idle=59 role_king=1 role_quest=1 role_vendor=2 role_waypoint=1 loops=6 loop_highcourt_gate_east_tower=2 loop_highcourt_gate_north_tower=2 loop_highcourt_gate_south_tower=2 loop_highcourt_gate_west_tower=2 loop_highcourt_market_watch=10 loop_highcourt_watch=10
