landmark_id	x	z	exact_inside	signed_inside	signed_distance_q
ossuary_gravewoods	-2319	1610	0	1	0
ossuary_gravewoods	-2440	1645	0	1	0
ossuary_gravewoods	-2200	1645	0	1	0
ossuary_gravewoods	-2489	1717	0	1	-120
ossuary_gravewoods	-2151	1717	0	1	-120
ossuary_gravewoods	-2489	1743	0	1	-120
ossuary_gravewoods	-2151	1743	0	1	-120
ossuary_gravewoods	-2440	1815	0	1	0
ossuary_gravewoods	-2200	1815	0	1	0
ossuary_gravewoods	-2321	1850	0	1	0
ossuary_gravewoods	-2319	1850	0	1	0
blackwind_bonearches	-1851	500	0	1	0
blackwind_bonearches	-1849	500	0	1	0
blackwind_bonearches	-1978	528	0	1	0
blackwind_bonearches	-1722	528	0	1	0
blackwind_bonearches	-2043	578	0	1	0
blackwind_bonearches	-1657	578	0	1	0
blackwind_bonearches	-2043	722	0	1	0
blackwind_bonearches	-1657	722	0	1	0
blackwind_bonearches	-1978	772	0	1	0
blackwind_bonearches	-1722	772	0	1	0
blackwind_bonearches	-1851	800	0	1	0
blackwind_bonearches	-1849	800	0	1	0
speargrass_hunting_stones	-701	1650	0	1	0
speargrass_hunting_stones	-699	1650	0	1	0
speargrass_hunting_stones	-701	1850	0	1	0
speargrass_hunting_stones	-699	1850	0	1	0
bannerbreak_crowned_mesa	-1	430	0	1	0
bannerbreak_crowned_mesa	1	430	0	1	0
bannerbreak_crowned_mesa	-230	516	0	1	0
bannerbreak_crowned_mesa	230	516	0	1	0
bannerbreak_crowned_mesa	-290	649	0	1	0
bannerbreak_crowned_mesa	290	649	0	1	0
bannerbreak_crowned_mesa	-290	651	0	1	0
bannerbreak_crowned_mesa	290	651	0	1	0
bannerbreak_crowned_mesa	-230	784	0	1	0
bannerbreak_crowned_mesa	230	784	0	1	0
bannerbreak_crowned_mesa	-1	870	0	1	0
bannerbreak_crowned_mesa	1	870	0	1	0
kapok_worldtree_basin	1799	2300	0	1	0
kapok_worldtree_basin	1801	2300	0	1	0
kapok_worldtree_basin	1570	2386	0	1	0
kapok_worldtree_basin	2030	2386	0	1	0
kapok_worldtree_basin	1510	2519	0	1	0
kapok_worldtree_basin	2090	2519	0	1	0
kapok_worldtree_basin	1510	2521	0	1	0
kapok_worldtree_basin	2090	2521	0	1	0
kapok_worldtree_basin	1570	2654	0	1	0
kapok_worldtree_basin	2030	2654	0	1	0
kapok_worldtree_basin	1799	2740	0	1	0
kapok_worldtree_basin	1801	2740	0	1	0
kezamba_cenote	1799	1280	0	1	0
kezamba_cenote	1801	1280	0	1	0
kezamba_cenote	1747	1285	0	1	0
kezamba_cenote	1853	1285	0	1	0
kezamba_cenote	1742	1286	0	1	0
kezamba_cenote	1858	1286	0	1	0
kezamba_cenote	1680	1307	0	1	0
kezamba_cenote	1920	1307	0	1	0
kezamba_cenote	1614	1353	0	1	0
kezamba_cenote	1986	1353	0	1	0
kezamba_cenote	1589	1382	0	1	0
kezamba_cenote	2011	1382	0	1	0
kezamba_cenote	1553	1466	0	1	0
kezamba_cenote	2047	1466	0	1	0
kezamba_cenote	1550	1499	0	1	0
kezamba_cenote	2050	1499	0	1	0
kezamba_cenote	1550	1501	0	1	0
kezamba_cenote	2050	1501	0	1	0
kezamba_cenote	1553	1534	0	1	0
kezamba_cenote	2047	1534	0	1	0
kezamba_cenote	1589	1618	0	1	0
kezamba_cenote	2011	1618	0	1	0
kezamba_cenote	1614	1647	0	1	0
kezamba_cenote	1986	1647	0	1	0
kezamba_cenote	1680	1693	0	1	0
kezamba_cenote	1920	1693	0	1	0
kezamba_cenote	1742	1714	0	1	0
kezamba_cenote	1858	1714	0	1	0
kezamba_cenote	1747	1715	0	1	0
kezamba_cenote	1853	1715	0	1	0
kezamba_cenote	1799	1720	0	1	0
kezamba_cenote	1801	1720	0	1	0
totemwater_colossi	2275	1667	0	1	0
totemwater_colossi	2485	1667	0	1	0
totemwater_colossi	2234	1705	0	1	0
totemwater_colossi	2526	1705	0	1	0
totemwater_colossi	2234	1795	0	1	0
totemwater_colossi	2526	1795	0	1	0
totemwater_colossi	2275	1833	0	1	0
totemwater_colossi	2485	1833	0	1	0
thunderroot_ochresteps	1549	500	0	1	0
thunderroot_ochresteps	1551	500	0	1	0
thunderroot_ochresteps	1492	507	0	1	0
thunderroot_ochresteps	1608	507	0	1	0
thunderroot_ochresteps	1418	540	0	1	0
thunderroot_ochresteps	1682	540	0	1	0
thunderroot_ochresteps	1340	679	0	1	0
thunderroot_ochresteps	1760	679	0	1	0
thunderroot_ochresteps	1340	681	0	1	0
thunderroot_ochresteps	1760	681	0	1	0
thunderroot_ochresteps	1418	820	0	1	0
thunderroot_ochresteps	1682	820	0	1	0
thunderroot_ochresteps	1492	853	0	1	0
thunderroot_ochresteps	1608	853	0	1	0
thunderroot_ochresteps	1549	860	0	1	0
thunderroot_ochresteps	1551	860	0	1	0
wyrmglass_ring	-3151	-300	0	1	0
wyrmglass_ring	-3149	-300	0	1	0
wyrmglass_ring	-3246	-277	0	1	0
wyrmglass_ring	-3054	-277	0	1	0
wyrmglass_ring	-3264	-267	0	1	0
wyrmglass_ring	-3036	-267	0	1	0
wyrmglass_ring	-3362	-159	0	1	0
wyrmglass_ring	-2938	-159	0	1	0
wyrmglass_ring	-3400	-1	0	1	0
wyrmglass_ring	-2900	-1	0	1	0
wyrmglass_ring	-3400	1	0	1	0
wyrmglass_ring	-2900	1	0	1	0
wyrmglass_ring	-3362	159	0	1	0
wyrmglass_ring	-2938	159	0	1	0
wyrmglass_ring	-3264	267	0	1	0
wyrmglass_ring	-3036	267	0	1	0
wyrmglass_ring	-3246	277	0	1	0
wyrmglass_ring	-3054	277	0	1	0
wyrmglass_ring	-3151	300	0	1	0
wyrmglass_ring	-3149	300	0	1	0
stormscale_caldera	3149	-300	0	1	0
stormscale_caldera	3151	-300	0	1	0
stormscale_caldera	3054	-277	0	1	0
stormscale_caldera	3246	-277	0	1	0
stormscale_caldera	3036	-267	0	1	0
stormscale_caldera	3264	-267	0	1	0
stormscale_caldera	2938	-159	0	1	0
stormscale_caldera	3362	-159	0	1	0
stormscale_caldera	2900	-1	0	1	0
stormscale_caldera	3400	-1	0	1	0
stormscale_caldera	2900	1	0	1	0
stormscale_caldera	3400	1	0	1	0
stormscale_caldera	2938	159	0	1	0
stormscale_caldera	3362	159	0	1	0
stormscale_caldera	3036	267	0	1	0
stormscale_caldera	3264	267	0	1	0
stormscale_caldera	3054	277	0	1	0
stormscale_caldera	3246	277	0	1	0
stormscale_caldera	3149	300	0	1	0
stormscale_caldera	3151	300	0	1	0
