event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=23805682
event=mapchunk case=run_wall_east mapchunk=-1552:128:-1392 kind=capital elapsed_us=131810
event=mapchunk case=run_wall_east mapchunk=-1552:48:-1312 kind=capital elapsed_us=750226
event=mapchunk case=run_wall_east mapchunk=-1552:128:-1312 kind=capital elapsed_us=113311
event=mapchunk case=run_wall_south mapchunk=-2032:48:-1792 kind=capital elapsed_us=985456
event=mapchunk case=run_wall_south mapchunk=-1952:48:-1792 kind=capital elapsed_us=824523
event=mapchunk case=run_wall_south mapchunk=-1792:48:-1792 kind=capital elapsed_us=963614
event=mapchunk case=run_wall_south mapchunk=-1712:48:-1792 kind=capital elapsed_us=798740
event=mapchunk case=run_wall_south mapchunk=-1632:48:-1792 kind=capital elapsed_us=797454
event=mapchunk case=run_wall_south mapchunk=-2032:128:-1792 kind=capital elapsed_us=147406
event=mapchunk case=run_wall_south mapchunk=-1952:128:-1792 kind=capital elapsed_us=146275
event=mapchunk case=run_wall_south mapchunk=-1792:128:-1792 kind=capital elapsed_us=215167
event=mapchunk case=run_wall_south mapchunk=-1712:128:-1792 kind=capital elapsed_us=213999
event=mapchunk case=run_wall_south mapchunk=-1632:128:-1792 kind=capital elapsed_us=290011
event=mapchunk case=run_wall_north mapchunk=-2032:48:-1312 kind=capital elapsed_us=882170
event=mapchunk case=run_wall_north mapchunk=-1952:48:-1312 kind=capital elapsed_us=750657
event=mapchunk case=run_wall_north mapchunk=-1792:48:-1312 kind=capital elapsed_us=894760
event=mapchunk case=run_wall_north mapchunk=-1712:48:-1312 kind=capital elapsed_us=757669
event=mapchunk case=run_wall_north mapchunk=-1632:48:-1312 kind=capital elapsed_us=744724
event=mapchunk case=run_wall_north mapchunk=-2032:128:-1312 kind=capital elapsed_us=118648
event=mapchunk case=run_wall_north mapchunk=-1952:128:-1312 kind=capital elapsed_us=112294
event=mapchunk case=run_wall_north mapchunk=-1792:128:-1312 kind=capital elapsed_us=113800
event=mapchunk case=run_wall_north mapchunk=-1712:128:-1312 kind=capital elapsed_us=120254
event=mapchunk case=run_wall_north mapchunk=-1632:128:-1312 kind=capital elapsed_us=120060
event=mapchunk case=control_open_land mapchunk=848:-32:848 kind=control elapsed_us=707756
event=mapchunk case=control_open_land_far mapchunk=1168:48:768 kind=control elapsed_us=804550
event=mapchunk case=control_dawnmere_start mapchunk=-32:-32:-2592 kind=control elapsed_us=2614
