id	buildings	host	sha256
anchor_044	2	true	21d99edfaaa5986d7457361aed1ded3ab16b38f8d19794aebbcfe3c82212110a
anchor_046	2	true	54aa278f010b498028926d9f61e6c56ce396e88fdb5aae56b2617f25a5b203bb
anchor_047	2	true	dce1d6752cdaab61647e0cba6cc37503e0517cb11fd2b391d5a56ecc7e3e0dd5
anchor_048	2	true	ed681ba26e08b1c2ff1a9a97aa78237fb801242aab925ceeae4ea5ea7c2ec94c
anchor_050	2	false	b2acefae1bfebe01a1b2f7c3d58a708150490d5c67fce0b68fe48dea42711eb8
anchor_052	2	false	1d874391b87648c5ebf97cc4699f27a00e1ab75fe6f7d4b5167879c66609a570
anchor_054	2	false	d6387559635c97b3875941e9ddaa75a3237c4a5e1bbdee33e0ac358feb39073f
anchor_056	2	false	54389460bc825e659c32615935111a2d1599b0bfc505d5bb837e1bb693fdcc31
anchor_058	2	false	eb980589cac3aec4c767970d787621cd41c6567a6a890887a4344dbee58ebed1
anchor_060	2	false	15071ff728d81435e168f1e4d9130ecf4fb233bcaab92c491973fb363335cd38
anchor_061	3	true	eaae3d04baa5df9345a0fffc13ff53381114dd344ad17a72059a12ea07dc7518
anchor_062	3	true	3150617884943db27da9489682c5ea42761785456742ada236125af50233b971
anchor_063	2	true	56d813770e2d3cb66e9f7c2c192909285fd63ddfd7c014ba9426d3a060a2db0e
anchor_064	3	true	96a15810f2b347b57c656bbdbd2c8c29c6d27459dfe818aa9a93471c3de6b68f
anchor_065	2	true	a7b6fdcc30296e6fa66c09608175debd508cfb3f83f51c945037a8c14cde5e13
anchor_066	3	true	9b49fd56e9c16d961046790791e2a61de96d9f7a7205aa937dd9e2db34d151d4
anchor_067	2	false	fe11409641f532cbf1bf17486c47a6d7cc6033e9a4d5394bc83c771a4f6abe17
anchor_068	2	false	8249cae90833b4bc94a6b99c1bdd20f3c730c9e967f7fa970f8ff4be5b1d049a
anchor_069	2	false	4492eb4739da73addc581aad5d598a60996891638a04980491b7bf6f7515bc18
anchor_070	2	false	f132b151e7da2adffc3b1389216ca740efb9ecb60c84a8c875bbf156bff3ef04
anchor_071	0	false	bbf9dabe42e1238a88c662544fe8e43bf3ee51010c72b171393085f68a378308
anchor_072	0	false	4880dcf11c0835fb1b7d524bc02253dbdc718417cf7375c765b28adff4c89c81
anchor_073	0	false	355212f24673be02af45259eb1e96260bdff31af3a9a9c0d5a5246be0add8f8d
anchor_074	0	false	c6eb246e22be80fffcd34eea66cdc6ecf0aa9feae54d5183f42ea38923928e78
anchor_075	0	false	1a9c7b0b73f08ea2674b57a9f7d0f9d5a34604f7c0d749872c55aee815f059e1
anchor_076	0	false	e25e76c21a01f10db8d5e58767a3dd27c2e39da760e69542e0c707defe90d649
anchor_077	0	false	1132b2ededa2e0a42a97cbec7d8c41e2ce6ecca5b002417aa3711b17b0a3ea8e
anchor_078	0	false	d7ee072469171a6a897c4a8fd2245d964e4fc09e764dd6720a0e5af9fca6d1a8
anchor_079	0	false	c746e9d84c6579ce79a2fdc80125ed76e28007c2dffcf9ad11fd2170d1064643
anchor_080	0	false	f2a87fe94137cb2f8d62dce752e6996f8faa4ee4b6d03816f1829f048672d499
anchor_081	0	false	4b0dd8f83a2c7d425ca412baa12aeda0ff60773073c83204e857720aac72c7f6
anchor_082	0	false	fc40a776fa9cea8963ffe7a19d5eacff6f44b01e72d068550e0dad21662ed110
anchor_083	0	false	be8ce55eb79bb7536671c18ce26e12f3de0322f96c70701c1a058a28de7287ac
anchor_084	0	false	7827c6e84f34537d62c1f1c6b128a237997bfeb838493eac272804ad6dd928af
anchor_085	0	false	02c7569dbddd31183ccea47c84be6bbc9363ba03db65ef97231851e8d53326ec
anchor_086	0	false	e426ae7c4444bf44018ff7f25aad2d717d59d4d4c7e35d0d33f2a17f4272e426
anchor_087	0	false	d2b243269a5bf411a6e7cda7d6f104befaa269eef21436c79e3c26470360e261
anchor_088	0	false	7a3c1744e240f0cf9334e835c6a8d22ee1c90d3c7530152226b6c5e5afd47505
anchor_089	2	false	2e8105329dfa9e623d5a599534bd13318cd3fa1035d46a1ef6dbdcd311ac938b
anchor_090	2	false	f3821914e7e4d86384556cd0679bba5717a85d9f5afdf784b047a81ab58f56ee
anchor_091	0	false	380de5c608c1265a2f777d228890e3996ad5e3d507560215ab4915e6f410ea2b
anchor_092	0	false	363a211d2097bb4be27ce0235c9e2ce5c870ef204152110d3218e1fb14192bd0
anchor_093	0	false	08b7837a01b61affe617b3f7f03639e170572d0a478bd66f732bacd26d571fcb
anchor_094	0	false	ed334b97fc76c950fe2130d954a82c231a25ddb1d482f74ac34c2f7c120b21ec
anchor_095	0	false	b5394ebfa7afb01b8072ab4320bad91de40f983b29878c67960baf8b78e68456
anchor_096	0	false	15488b54d50a982b7082e98551997a3d7c5458d94143c07f7c414c4d7c6403df
anchor_097	0	false	c334b75b68796f1542ec6a84518667c598d7a202d7f3faa53048cee9a4e83329
anchor_098	0	false	0e8a89ea8501b109c83b85eb273de9b2e2404e3106f4e6d4591f74f496562c3d
anchor_099	0	false	a56f55c9be4ba36c034bf1e46b1cc484c235be4b2954616ce4692f4c929934b2
anchor_100	0	false	bf28adab80681c4c2c8b9fc38ff7a61e7aeebfa2993fb5bf81e521485e4a141b
