x	z	y	water	class	kind	feature	neighbor_x	neighbor_z	neighbor_y
1782	1566	53	65	planned_water	land_grade	anchor_012	1782	1565	62
1782	1567	53	65	planned_water	land_grade	anchor_012	1781	1567	60
1782	1568	53	65	planned_water	land_grade	anchor_012	1781	1568	60
1781	1569	53	65	planned_water	land_grade	anchor_012	1780	1569	60
1781	1569	53	65	planned_water	land_grade	anchor_012	1781	1568	60
1781	1570	53	65	planned_water	land_grade	anchor_012	1780	1570	61
1780	1571	53	65	planned_water	land_grade	anchor_012	1779	1571	63
1780	1571	53	65	planned_water	land_grade	anchor_012	1780	1570	61
1779	1572	53	65	planned_water	land_grade	anchor_012	1778	1572	64
1779	1572	53	65	planned_water	land_grade	anchor_012	1779	1571	63
1778	1573	53	65	planned_water	land_grade	route_017	1777	1573	64
1778	1573	53	65	planned_water	land_grade	anchor_012	1778	1572	64
1778	1574	53	65	planned_water	land_grade	route_017	1777	1574	64
1777	1575	53	65	planned_water	land_grade	route_017	1777	1574	64
1769	1598	54	65	planned_water	land_grade	route_017	1768	1598	64
1769	1599	54	65	planned_water	land_grade	anchor_012	1768	1599	64
1768	1600	54	65	planned_water	land_grade	route_017	1767	1600	63
1768	1600	54	65	planned_water	land_grade	anchor_012	1768	1599	64
1768	1600	54	65	planned_water	land_grade	anchor_012	1768	1601	61
1769	1601	54	65	planned_water	land_grade	anchor_012	1768	1601	61
1769	1602	54	65	planned_water	land_grade	anchor_012	1768	1602	61
1769	1603	54	65	planned_water	land_grade	anchor_012	1768	1603	61
1769	1604	54	65	planned_water	land_grade	anchor_012	1768	1604	61
1769	1605	54	65	planned_water	land_grade	anchor_012	1768	1605	61
1769	1606	54	65	planned_water	land_grade	anchor_012	1768	1606	61
1769	1607	54	65	planned_water	land_grade	anchor_012	1768	1607	61
1769	1608	54	65	planned_water	land_grade	anchor_012	1768	1608	64
1769	1609	54	65	planned_water	land_grade	anchor_012	1768	1609	64
1849	1628	55	65	planned_water	land_grade	anchor_012	1849	1629	64
1851	1629	55	65	planned_water	land_grade	anchor_012	1851	1630	64
1852	1629	55	65	planned_water	land_grade	anchor_012	1852	1630	64
1853	1629	55	65	planned_water	land_grade	anchor_012	1853	1630	61
1854	1629	55	65	planned_water	land_grade	anchor_012	1854	1630	61
1855	1629	55	65	planned_water	land_grade	anchor_012	1855	1630	58
1856	1630	55	65	planned_water	land_grade	anchor_012	1855	1630	58
1856	1630	55	65	planned_water	land_grade	anchor_012	1856	1631	55
1857	1630	55	65	planned_water	land_grade	anchor_012	1857	1631	52
1858	1630	55	65	planned_water	land_grade	anchor_012	1858	1631	55
1859	1630	55	65	planned_water	land_grade	anchor_012	1859	1631	52
1860	1630	55	65	planned_water	land_grade	anchor_012	1860	1631	49
1861	1631	55	65	planned_water	land_grade	anchor_012	1860	1631	49
1861	1631	55	65	planned_water	land_grade	anchor_012	1861	1632	46
1862	1631	55	65	planned_water	land_grade	anchor_012	1862	1632	46
1863	1631	55	65	planned_water	land_grade	anchor_012	1863	1632	43
1864	1631	55	65	planned_water	land_grade	anchor_012	1864	1632	43
1865	1631	55	65	planned_water	land_grade	anchor_012	1865	1632	40
1866	1632	55	65	planned_water	land_grade	anchor_012	1865	1632	40
1866	1632	55	65	planned_water	land_grade	anchor_012	1866	1633	37
1867	1632	55	65	planned_water	land_grade	anchor_012	1867	1633	37
1868	1632	55	65	planned_water	land_grade	anchor_012	1868	1633	37
1869	1632	55	65	planned_water	land_grade	anchor_012	1869	1633	37
1870	1632	55	65	planned_water	land_grade	anchor_012	1870	1633	37
1871	1633	55	65	planned_water	land_grade	anchor_012	1870	1633	37
1871	1633	55	65	planned_water	land_grade	anchor_012	1871	1634	37
1872	1633	55	65	planned_water	land_grade	anchor_012	1872	1634	37
1873	1633	55	65	planned_water	land_grade	anchor_012	1873	1634	37
1874	1633	55	65	planned_water	land_grade	anchor_012	1874	1634	37
1875	1633	55	65	planned_water	land_grade	anchor_012	1875	1634	37
1876	1634	55	65	planned_water	land_grade	anchor_012	1875	1634	37
1876	1634	55	65	planned_water	land_grade	anchor_012	1876	1635	37
1877	1634	55	65	planned_water	land_grade	anchor_012	1877	1635	37
1880	1634	55	65	planned_water	land_grade	anchor_012	1880	1635	55
1881	1635	55	65	planned_water	land_grade	anchor_012	1880	1635	55
1881	1635	55	65	planned_water	land_grade	anchor_012	1881	1636	55
1882	1635	55	65	planned_water	land_grade	anchor_012	1882	1636	55
1883	1635	55	65	planned_water	land_grade	anchor_012	1883	1636	58
1884	1635	55	65	planned_water	land_grade	anchor_012	1884	1636	58
1885	1635	55	65	planned_water	land_grade	anchor_012	1885	1636	58
1886	1636	55	65	planned_water	land_grade	anchor_012	1885	1636	58
1886	1636	55	65	planned_water	land_grade	anchor_012	1886	1637	58
1887	1636	55	65	planned_water	land_grade	anchor_012	1887	1637	61
1888	1636	55	65	planned_water	land_grade	anchor_012	1888	1637	58
1889	1637	54	65	planned_water	land_grade	anchor_012	1888	1637	58
1889	1637	54	65	planned_water	land_grade	anchor_012	1889	1638	58
1890	1637	54	65	planned_water	land_grade	anchor_012	1890	1638	58
1891	1637	54	65	planned_water	land_grade	anchor_012	1891	1638	61
1892	1637	54	65	planned_water	land_grade	anchor_012	1892	1638	61
1893	1638	54	65	planned_water	land_grade	anchor_012	1892	1638	61
1893	1638	54	65	planned_water	land_grade	anchor_012	1893	1639	58
1894	1638	54	65	planned_water	land_grade	anchor_012	1894	1639	61
1895	1638	54	65	planned_water	land_grade	anchor_012	1895	1639	61
1896	1638	54	65	planned_water	land_grade	anchor_012	1896	1639	61
1897	1638	54	65	planned_water	land_grade	anchor_012	1897	1639	64
1898	1639	54	65	planned_water	land_grade	anchor_012	1897	1639	64
1898	1639	54	65	planned_water	land_grade	anchor_012	1898	1640	61
1899	1639	54	65	planned_water	land_grade	anchor_012	1899	1640	61
1900	1639	53	65	planned_water	land_grade	anchor_012	1900	1640	64
1901	1639	53	65	planned_water	land_grade	anchor_012	1901	1640	64
1902	1639	53	65	planned_water	land_grade	anchor_012	1902	1640	64
1903	1639	53	65	planned_water	land_grade	anchor_012	1903	1640	64
1905	1639	53	65	planned_water	land_grade	anchor_012	1905	1640	64
